"tollgate_id","time_window_month","time_window_day","time_window_hour","time_window_minute","direction","volume"
"1",9,19,21,0,0,17
"1",9,19,21,0,1,24
"2",9,19,21,20,0,20
"3",9,19,21,20,0,34
"3",9,19,21,20,1,37
"1",9,19,21,20,0,22
"1",9,19,21,20,1,35
"2",9,19,21,40,0,24
"3",9,19,21,40,0,30
"3",9,19,21,40,1,33
"1",9,19,21,40,0,5
"1",9,19,21,40,1,30
"2",9,19,22,0,0,21
"3",9,19,22,0,0,22
"3",9,19,22,0,1,16
"1",9,19,22,0,0,4
"1",9,19,22,0,1,21
"2",9,19,22,20,0,12
"3",9,19,22,20,0,24
"3",9,19,22,20,1,13
"1",9,19,22,20,0,9
"1",9,19,22,20,1,24
"2",9,19,22,40,0,24
"3",9,19,22,40,0,12
"3",9,19,22,40,1,21
"1",9,19,22,40,0,3
"1",9,19,22,40,1,23
"2",9,19,23,0,0,16
"3",9,19,23,0,0,6
"3",9,19,23,0,1,7
"1",9,19,23,0,0,1
"1",9,19,23,0,1,16
"2",9,19,23,20,0,6
"3",9,19,23,20,0,11
"3",9,19,23,20,1,11
"1",9,19,23,20,0,7
"1",9,19,23,20,1,10
"2",9,19,23,40,0,12
"3",9,19,23,40,0,22
"3",9,19,23,40,1,16
"1",9,19,23,40,0,6
"1",9,19,23,40,1,13
"3",9,20,0,0,0,17
"3",9,20,0,0,1,231
"1",9,20,0,0,0,14
"1",9,20,0,0,1,139
"2",9,20,0,20,0,2
"3",9,20,0,20,0,13
"3",9,20,0,20,1,148
"1",9,20,0,20,0,13
"1",9,20,0,20,1,80
"2",9,20,0,40,0,2
"3",9,20,0,40,0,17
"3",9,20,0,40,1,92
"1",9,20,0,40,0,7
"1",9,20,0,40,1,37
"3",9,20,1,0,0,15
"3",9,20,1,0,1,9
"1",9,20,1,0,0,6
"1",9,20,1,0,1,6
"2",9,20,1,20,0,1
"3",9,20,1,20,0,14
"3",9,20,1,20,1,10
"1",9,20,1,20,0,5
"1",9,20,1,20,1,8
"3",9,20,1,40,0,18
"3",9,20,1,40,1,5
"1",9,20,1,40,0,5
"1",9,20,1,40,1,11
"3",9,20,2,0,0,12
"3",9,20,2,0,1,4
"1",9,20,2,0,0,6
"1",9,20,2,0,1,8
"3",9,20,2,20,0,17
"3",9,20,2,20,1,4
"1",9,20,2,20,0,9
"1",9,20,2,20,1,12
"3",9,20,2,40,0,13
"3",9,20,2,40,1,8
"1",9,20,2,40,0,7
"1",9,20,2,40,1,8
"3",9,20,3,0,0,7
"3",9,20,3,0,1,6
"1",9,20,3,0,0,10
"1",9,20,3,0,1,2
"3",9,20,3,20,0,8
"3",9,20,3,20,1,3
"1",9,20,3,20,0,8
"1",9,20,3,20,1,13
"3",9,20,3,40,0,11
"3",9,20,3,40,1,6
"1",9,20,3,40,0,5
"1",9,20,3,40,1,18
"3",9,20,4,0,0,10
"3",9,20,4,0,1,6
"1",9,20,4,0,0,11
"1",9,20,4,0,1,20
"3",9,20,4,20,0,9
"3",9,20,4,20,1,6
"1",9,20,4,20,0,8
"1",9,20,4,20,1,17
"3",9,20,4,40,0,11
"3",9,20,4,40,1,4
"1",9,20,4,40,0,15
"1",9,20,4,40,1,20
"2",9,20,5,0,0,5
"3",9,20,5,0,0,12
"3",9,20,5,0,1,12
"1",9,20,5,0,0,9
"1",9,20,5,0,1,27
"2",9,20,5,20,0,18
"3",9,20,5,20,0,17
"3",9,20,5,20,1,12
"1",9,20,5,20,0,4
"1",9,20,5,20,1,37
"2",9,20,5,40,0,21
"3",9,20,5,40,0,20
"3",9,20,5,40,1,18
"1",9,20,5,40,0,10
"1",9,20,5,40,1,35
"2",9,20,6,0,0,33
"3",9,20,6,0,0,31
"3",9,20,6,0,1,24
"1",9,20,6,0,0,13
"1",9,20,6,0,1,47
"2",9,20,6,20,0,31
"3",9,20,6,20,0,43
"3",9,20,6,20,1,43
"1",9,20,6,20,0,20
"1",9,20,6,20,1,59
"2",9,20,6,40,0,54
"3",9,20,6,40,0,80
"3",9,20,6,40,1,66
"1",9,20,6,40,0,29
"1",9,20,6,40,1,69
"2",9,20,7,0,0,79
"3",9,20,7,0,0,113
"3",9,20,7,0,1,83
"1",9,20,7,0,0,38
"1",9,20,7,0,1,88
"2",9,20,7,20,0,86
"3",9,20,7,20,0,141
"3",9,20,7,20,1,97
"1",9,20,7,20,0,30
"1",9,20,7,20,1,126
"2",9,20,7,40,0,93
"3",9,20,7,40,0,136
"3",9,20,7,40,1,122
"1",9,20,7,40,0,31
"1",9,20,7,40,1,139
"2",9,20,8,0,0,112
"3",9,20,8,0,0,145
"3",9,20,8,0,1,154
"1",9,20,8,0,0,53
"1",9,20,8,0,1,132
"2",9,20,8,20,0,111
"3",9,20,8,20,0,173
"3",9,20,8,20,1,209
"1",9,20,8,20,0,50
"1",9,20,8,20,1,151
"2",9,20,8,40,0,112
"3",9,20,8,40,0,154
"3",9,20,8,40,1,210
"1",9,20,8,40,0,45
"1",9,20,8,40,1,131
"2",9,20,9,0,0,105
"3",9,20,9,0,0,144
"3",9,20,9,0,1,191
"1",9,20,9,0,0,51
"1",9,20,9,0,1,150
"2",9,20,9,20,0,99
"3",9,20,9,20,0,142
"3",9,20,9,20,1,222
"1",9,20,9,20,0,68
"1",9,20,9,20,1,142
"2",9,20,9,40,0,87
"3",9,20,9,40,0,144
"3",9,20,9,40,1,174
"1",9,20,9,40,0,59
"1",9,20,9,40,1,173
"2",9,20,10,0,0,85
"3",9,20,10,0,0,123
"3",9,20,10,0,1,81
"1",9,20,10,0,0,56
"1",9,20,10,0,1,96
"2",9,20,10,20,0,76
"3",9,20,10,20,0,137
"3",9,20,10,20,1,97
"1",9,20,10,20,0,60
"1",9,20,10,20,1,92
"2",9,20,10,40,0,80
"3",9,20,10,40,0,114
"3",9,20,10,40,1,77
"1",9,20,10,40,0,63
"1",9,20,10,40,1,92
"2",9,20,11,0,0,63
"3",9,20,11,0,0,120
"3",9,20,11,0,1,79
"1",9,20,11,0,0,57
"1",9,20,11,0,1,90
"2",9,20,11,20,0,46
"3",9,20,11,20,0,102
"3",9,20,11,20,1,82
"1",9,20,11,20,0,64
"1",9,20,11,20,1,98
"2",9,20,11,40,0,55
"3",9,20,11,40,0,111
"3",9,20,11,40,1,83
"1",9,20,11,40,0,50
"1",9,20,11,40,1,87
"2",9,20,12,0,0,73
"3",9,20,12,0,0,101
"3",9,20,12,0,1,109
"1",9,20,12,0,0,53
"1",9,20,12,0,1,86
"2",9,20,12,20,0,88
"3",9,20,12,20,0,122
"3",9,20,12,20,1,78
"1",9,20,12,20,0,62
"1",9,20,12,20,1,82
"2",9,20,12,40,0,80
"3",9,20,12,40,0,133
"3",9,20,12,40,1,92
"1",9,20,12,40,0,75
"1",9,20,12,40,1,70
"2",9,20,13,0,0,75
"3",9,20,13,0,0,130
"3",9,20,13,0,1,94
"1",9,20,13,0,0,98
"1",9,20,13,0,1,99
"2",9,20,13,20,0,96
"3",9,20,13,20,0,143
"3",9,20,13,20,1,88
"1",9,20,13,20,0,82
"1",9,20,13,20,1,95
"2",9,20,13,40,0,69
"3",9,20,13,40,0,136
"3",9,20,13,40,1,99
"1",9,20,13,40,0,84
"1",9,20,13,40,1,103
"2",9,20,14,0,0,81
"3",9,20,14,0,0,131
"3",9,20,14,0,1,99
"1",9,20,14,0,0,81
"1",9,20,14,0,1,105
"2",9,20,14,20,0,72
"3",9,20,14,20,0,141
"3",9,20,14,20,1,81
"1",9,20,14,20,0,90
"1",9,20,14,20,1,94
"2",9,20,14,40,0,70
"3",9,20,14,40,0,122
"3",9,20,14,40,1,89
"1",9,20,14,40,0,67
"1",9,20,14,40,1,99
"2",9,20,15,0,0,62
"3",9,20,15,0,0,124
"3",9,20,15,0,1,80
"1",9,20,15,0,0,71
"1",9,20,15,0,1,78
"2",9,20,15,20,0,69
"3",9,20,15,20,0,132
"3",9,20,15,20,1,73
"1",9,20,15,20,0,64
"1",9,20,15,20,1,79
"2",9,20,15,40,0,69
"3",9,20,15,40,0,131
"3",9,20,15,40,1,87
"1",9,20,15,40,0,73
"1",9,20,15,40,1,71
"2",9,20,16,0,0,82
"3",9,20,16,0,0,122
"3",9,20,16,0,1,85
"1",9,20,16,0,0,48
"1",9,20,16,0,1,95
"2",9,20,16,20,0,76
"3",9,20,16,20,0,113
"3",9,20,16,20,1,97
"1",9,20,16,20,0,57
"1",9,20,16,20,1,96
"2",9,20,16,40,0,64
"3",9,20,16,40,0,122
"3",9,20,16,40,1,96
"1",9,20,16,40,0,48
"1",9,20,16,40,1,95
"2",9,20,17,0,0,82
"3",9,20,17,0,0,126
"3",9,20,17,0,1,84
"1",9,20,17,0,0,38
"1",9,20,17,0,1,111
"2",9,20,17,20,0,86
"3",9,20,17,20,0,116
"3",9,20,17,20,1,86
"1",9,20,17,20,0,42
"1",9,20,17,20,1,110
"2",9,20,17,40,0,85
"3",9,20,17,40,0,95
"3",9,20,17,40,1,106
"1",9,20,17,40,0,38
"1",9,20,17,40,1,133
"2",9,20,18,0,0,77
"3",9,20,18,0,0,81
"3",9,20,18,0,1,90
"1",9,20,18,0,0,26
"1",9,20,18,0,1,78
"2",9,20,18,20,0,60
"3",9,20,18,20,0,100
"3",9,20,18,20,1,84
"1",9,20,18,20,0,29
"1",9,20,18,20,1,60
"2",9,20,18,40,0,56
"3",9,20,18,40,0,63
"3",9,20,18,40,1,88
"1",9,20,18,40,0,20
"1",9,20,18,40,1,53
"2",9,20,19,0,0,61
"3",9,20,19,0,0,59
"3",9,20,19,0,1,53
"1",9,20,19,0,0,17
"1",9,20,19,0,1,44
"2",9,20,19,20,0,27
"3",9,20,19,20,0,52
"3",9,20,19,20,1,52
"1",9,20,19,20,0,29
"1",9,20,19,20,1,52
"2",9,20,19,40,0,40
"3",9,20,19,40,0,48
"3",9,20,19,40,1,50
"1",9,20,19,40,0,21
"1",9,20,19,40,1,49
"2",9,20,20,0,0,35
"3",9,20,20,0,0,62
"3",9,20,20,0,1,62
"1",9,20,20,0,0,12
"1",9,20,20,0,1,34
"2",9,20,20,20,0,31
"3",9,20,20,20,0,55
"3",9,20,20,20,1,48
"1",9,20,20,20,0,16
"1",9,20,20,20,1,42
"2",9,20,20,40,0,30
"3",9,20,20,40,0,45
"3",9,20,20,40,1,49
"1",9,20,20,40,0,16
"1",9,20,20,40,1,37
"2",9,20,21,0,0,27
"3",9,20,21,0,0,47
"3",9,20,21,0,1,29
"1",9,20,21,0,0,17
"1",9,20,21,0,1,41
"2",9,20,21,20,0,21
"3",9,20,21,20,0,38
"3",9,20,21,20,1,44
"1",9,20,21,20,0,29
"1",9,20,21,20,1,42
"2",9,20,21,40,0,5
"3",9,20,21,40,0,32
"3",9,20,21,40,1,38
"1",9,20,21,40,0,37
"1",9,20,21,40,1,39
"2",9,20,22,0,0,5
"3",9,20,22,0,0,27
"3",9,20,22,0,1,23
"1",9,20,22,0,0,30
"1",9,20,22,0,1,32
"2",9,20,22,20,0,6
"3",9,20,22,20,0,22
"3",9,20,22,20,1,33
"1",9,20,22,20,0,17
"1",9,20,22,20,1,30
"3",9,20,22,40,0,29
"3",9,20,22,40,1,34
"1",9,20,22,40,0,19
"1",9,20,22,40,1,24
"2",9,20,23,0,0,5
"3",9,20,23,0,0,13
"3",9,20,23,0,1,10
"1",9,20,23,0,0,20
"1",9,20,23,0,1,12
"2",9,20,23,20,0,7
"3",9,20,23,20,0,27
"3",9,20,23,20,1,20
"1",9,20,23,20,0,7
"1",9,20,23,20,1,22
"2",9,20,23,40,0,5
"3",9,20,23,40,0,23
"3",9,20,23,40,1,13
"1",9,20,23,40,0,11
"1",9,20,23,40,1,14
"2",9,21,0,0,0,2
"3",9,21,0,0,0,19
"3",9,21,0,0,1,124
"1",9,21,0,0,0,12
"1",9,21,0,0,1,97
"2",9,21,0,20,0,2
"3",9,21,0,20,0,17
"3",9,21,0,20,1,116
"1",9,21,0,20,0,6
"1",9,21,0,20,1,64
"2",9,21,0,40,0,2
"3",9,21,0,40,0,13
"3",9,21,0,40,1,54
"1",9,21,0,40,0,7
"1",9,21,0,40,1,41
"3",9,21,1,0,0,17
"3",9,21,1,0,1,7
"1",9,21,1,0,0,7
"1",9,21,1,0,1,9
"2",9,21,1,20,0,1
"3",9,21,1,20,0,16
"3",9,21,1,20,1,5
"1",9,21,1,20,0,4
"1",9,21,1,20,1,8
"2",9,21,1,40,0,1
"3",9,21,1,40,0,17
"3",9,21,1,40,1,7
"1",9,21,1,40,0,6
"1",9,21,1,40,1,13
"3",9,21,2,0,0,9
"3",9,21,2,0,1,7
"1",9,21,2,0,0,6
"1",9,21,2,0,1,10
"3",9,21,2,20,0,12
"3",9,21,2,20,1,7
"1",9,21,2,20,0,10
"1",9,21,2,20,1,7
"3",9,21,2,40,0,13
"3",9,21,2,40,1,3
"1",9,21,2,40,0,6
"1",9,21,2,40,1,10
"3",9,21,3,0,0,14
"3",9,21,3,0,1,4
"1",9,21,3,0,0,5
"1",9,21,3,0,1,12
"3",9,21,3,20,0,10
"3",9,21,3,20,1,3
"1",9,21,3,20,0,6
"1",9,21,3,20,1,15
"3",9,21,3,40,0,11
"3",9,21,3,40,1,6
"1",9,21,3,40,0,10
"1",9,21,3,40,1,19
"3",9,21,4,0,0,14
"3",9,21,4,0,1,3
"1",9,21,4,0,0,16
"1",9,21,4,0,1,18
"3",9,21,4,20,0,12
"3",9,21,4,20,1,3
"1",9,21,4,20,0,14
"1",9,21,4,20,1,18
"3",9,21,4,40,0,15
"3",9,21,4,40,1,5
"1",9,21,4,40,0,11
"1",9,21,4,40,1,18
"2",9,21,5,0,0,1
"3",9,21,5,0,0,16
"3",9,21,5,0,1,6
"1",9,21,5,0,0,10
"1",9,21,5,0,1,31
"2",9,21,5,20,0,5
"3",9,21,5,20,0,16
"3",9,21,5,20,1,11
"1",9,21,5,20,0,14
"1",9,21,5,20,1,28
"2",9,21,5,40,0,6
"3",9,21,5,40,0,25
"3",9,21,5,40,1,11
"1",9,21,5,40,0,28
"1",9,21,5,40,1,30
"2",9,21,6,0,0,6
"3",9,21,6,0,0,32
"3",9,21,6,0,1,20
"1",9,21,6,0,0,36
"1",9,21,6,0,1,36
"2",9,21,6,20,0,9
"3",9,21,6,20,0,47
"3",9,21,6,20,1,42
"1",9,21,6,20,0,41
"1",9,21,6,20,1,50
"2",9,21,6,40,0,14
"3",9,21,6,40,0,85
"3",9,21,6,40,1,37
"1",9,21,6,40,0,75
"1",9,21,6,40,1,71
"2",9,21,7,0,0,42
"3",9,21,7,0,0,116
"3",9,21,7,0,1,66
"1",9,21,7,0,0,78
"1",9,21,7,0,1,77
"2",9,21,7,20,0,37
"3",9,21,7,20,0,133
"3",9,21,7,20,1,92
"1",9,21,7,20,0,84
"1",9,21,7,20,1,94
"2",9,21,7,40,0,44
"3",9,21,7,40,0,151
"3",9,21,7,40,1,89
"1",9,21,7,40,0,95
"1",9,21,7,40,1,99
"2",9,21,8,0,0,37
"3",9,21,8,0,0,135
"3",9,21,8,0,1,126
"1",9,21,8,0,0,122
"1",9,21,8,0,1,100
"2",9,21,8,20,0,30
"3",9,21,8,20,0,163
"3",9,21,8,20,1,122
"1",9,21,8,20,0,126
"1",9,21,8,20,1,105
"2",9,21,8,40,0,66
"3",9,21,8,40,0,120
"3",9,21,8,40,1,149
"1",9,21,8,40,0,77
"1",9,21,8,40,1,119
"2",9,21,9,0,0,104
"3",9,21,9,0,0,139
"3",9,21,9,0,1,131
"1",9,21,9,0,0,49
"1",9,21,9,0,1,137
"2",9,21,9,20,0,100
"3",9,21,9,20,0,120
"3",9,21,9,20,1,83
"1",9,21,9,20,0,55
"1",9,21,9,20,1,132
"2",9,21,9,40,0,80
"3",9,21,9,40,0,130
"3",9,21,9,40,1,78
"1",9,21,9,40,0,53
"1",9,21,9,40,1,122
"2",9,21,10,0,0,72
"3",9,21,10,0,0,114
"3",9,21,10,0,1,71
"1",9,21,10,0,0,36
"1",9,21,10,0,1,96
"2",9,21,10,20,0,67
"3",9,21,10,20,0,115
"3",9,21,10,20,1,87
"1",9,21,10,20,0,57
"1",9,21,10,20,1,98
"2",9,21,10,40,0,74
"3",9,21,10,40,0,118
"3",9,21,10,40,1,80
"1",9,21,10,40,0,37
"1",9,21,10,40,1,89
"2",9,21,11,0,0,45
"3",9,21,11,0,0,76
"3",9,21,11,0,1,70
"1",9,21,11,0,0,32
"1",9,21,11,0,1,77
"2",9,21,11,20,0,58
"3",9,21,11,20,0,101
"3",9,21,11,20,1,72
"1",9,21,11,20,0,27
"1",9,21,11,20,1,79
"2",9,21,11,40,0,50
"3",9,21,11,40,0,97
"3",9,21,11,40,1,82
"1",9,21,11,40,0,32
"1",9,21,11,40,1,78
"2",9,21,12,0,0,63
"3",9,21,12,0,0,68
"3",9,21,12,0,1,88
"1",9,21,12,0,0,45
"1",9,21,12,0,1,84
"2",9,21,12,20,0,42
"3",9,21,12,20,0,79
"3",9,21,12,20,1,85
"1",9,21,12,20,0,42
"1",9,21,12,20,1,96
"2",9,21,12,40,0,55
"3",9,21,12,40,0,110
"3",9,21,12,40,1,102
"1",9,21,12,40,0,38
"1",9,21,12,40,1,90
"2",9,21,13,0,0,82
"3",9,21,13,0,0,99
"3",9,21,13,0,1,100
"1",9,21,13,0,0,44
"1",9,21,13,0,1,87
"2",9,21,13,20,0,72
"3",9,21,13,20,0,113
"3",9,21,13,20,1,108
"1",9,21,13,20,0,41
"1",9,21,13,20,1,87
"2",9,21,13,40,0,62
"3",9,21,13,40,0,95
"3",9,21,13,40,1,99
"1",9,21,13,40,0,51
"1",9,21,13,40,1,105
"2",9,21,14,0,0,78
"3",9,21,14,0,0,108
"3",9,21,14,0,1,74
"1",9,21,14,0,0,53
"1",9,21,14,0,1,104
"2",9,21,14,20,0,79
"3",9,21,14,20,0,93
"3",9,21,14,20,1,98
"1",9,21,14,20,0,43
"1",9,21,14,20,1,93
"2",9,21,14,40,0,66
"3",9,21,14,40,0,102
"3",9,21,14,40,1,100
"1",9,21,14,40,0,54
"1",9,21,14,40,1,103
"2",9,21,15,0,0,63
"3",9,21,15,0,0,113
"3",9,21,15,0,1,98
"1",9,21,15,0,0,48
"1",9,21,15,0,1,98
"2",9,21,15,20,0,81
"3",9,21,15,20,0,114
"3",9,21,15,20,1,108
"1",9,21,15,20,0,46
"1",9,21,15,20,1,96
"2",9,21,15,40,0,77
"3",9,21,15,40,0,89
"3",9,21,15,40,1,99
"1",9,21,15,40,0,49
"1",9,21,15,40,1,90
"2",9,21,16,0,0,66
"3",9,21,16,0,0,109
"3",9,21,16,0,1,87
