"time_window","gate_dir",vehicle_model[0],vehicle_model[1],vehicle_model[2],vehicle_model[3],vehicle_model[4],vehicle_model[5],vehicle_model[6],vehicle_model[7],has_etc[0],has_etc[1],vehicle_type[0],vehicle_type[1],no_type,total_volume,working_day
"[2016-09-27 19:40:00,2016-09-27 20:00:00)","2","0","6","1","0","1","0","0","0","1","7","0","0","8","8","1"
"[2016-09-27 19:40:00,2016-09-27 20:00:00)","3","0","50","14","0","0","0","0","0","52","12","0","0","64","64","1"
"[2016-09-27 19:40:00,2016-09-27 20:00:00)","4","0","44","0","2","0","2","0","0","33","15","42","6","0","48","1"
"[2016-09-20 02:00:00,2016-09-20 02:20:00)","0","0","2","0","1","0","3","0","0","6","0","0","0","6","6","1"
"[2016-09-20 02:00:00,2016-09-20 02:20:00)","1","0","5","0","2","1","0","0","0","7","1","2","6","0","8","1"
"[2016-09-20 02:00:00,2016-09-20 02:20:00)","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1"
"[2016-09-20 02:00:00,2016-09-20 02:20:00)","3","0","9","1","0","0","0","0","2","11","1","0","0","12","12","1"
"[2016-09-20 02:00:00,2016-09-20 02:20:00)","4","0","3","0","1","0","0","0","0","4","0","3","1","0","4","1"
"[2016-10-13 06:40:00,2016-10-13 07:00:00)","0","0","25","4","2","1","0","0","0","25","7","0","0","32","32","1"
"[2016-10-13 06:40:00,2016-10-13 07:00:00)","1","0","56","12","5","1","2","0","0","63","13","51","25","0","76","1"
"[2016-10-13 06:40:00,2016-10-13 07:00:00)","2","0","60","6","0","0","0","0","0","51","15","0","0","66","66","1"
"[2016-10-13 06:40:00,2016-10-13 07:00:00)","3","0","51","17","2","2","0","0","0","52","20","0","0","72","72","1"
"[2016-10-13 06:40:00,2016-10-13 07:00:00)","4","0","40","9","3","1","2","0","0","41","14","40","15","0","55","1"
"[2016-10-09 10:40:00,2016-10-09 11:00:00)","0","0","36","3","0","0","0","0","0","32","7","0","0","39","39","0"
"[2016-10-09 10:40:00,2016-10-09 11:00:00)","1","0","71","8","3","3","2","0","0","67","20","61","26","0","87","0"
"[2016-10-09 10:40:00,2016-10-09 11:00:00)","2","0","58","6","0","0","0","0","0","46","18","0","0","64","64","0"
"[2016-10-09 10:40:00,2016-10-09 11:00:00)","3","0","78","27","0","1","0","0","0","86","20","0","0","106","106","0"
"[2016-10-09 10:40:00,2016-10-09 11:00:00)","4","0","80","3","2","0","1","0","0","71","15","73","13","0","86","0"
"[2016-09-19 00:40:00,2016-09-19 01:00:00)","0","0","6","1","0","1","1","0","0","8","1","0","0","9","9","1"
"[2016-09-19 00:40:00,2016-09-19 01:00:00)","1","0","20","8","2","1","0","0","0","26","5","20","11","0","31","1"
"[2016-09-19 00:40:00,2016-09-19 01:00:00)","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1"
"[2016-09-19 00:40:00,2016-09-19 01:00:00)","3","0","13","2","1","0","0","0","0","15","1","0","0","16","16","1"
"[2016-09-19 00:40:00,2016-09-19 01:00:00)","4","0","73","8","7","3","1","0","1","68","25","77","16","0","93","1"
"[2016-10-08 14:00:00,2016-10-08 14:20:00)","0","0","31","3","2","1","0","0","0","28","9","0","0","37","37","0"
"[2016-10-08 14:00:00,2016-10-08 14:20:00)","1","0","63","8","2","2","1","0","1","54","23","59","18","0","77","0"
"[2016-10-08 14:00:00,2016-10-08 14:20:00)","2","0","52","11","0","0","0","0","0","55","8","0","0","63","63","0"
"[2016-10-08 14:00:00,2016-10-08 14:20:00)","3","0","76","17","0","2","0","0","0","74","21","0","0","95","95","0"
"[2016-10-08 14:00:00,2016-10-08 14:20:00)","4","0","85","4","2","1","2","0","0","67","27","75","19","0","94","0"
"[2016-09-23 02:40:00,2016-09-23 03:00:00)","0","0","2","3","3","0","1","0","0","9","0","0","0","9","9","1"
"[2016-09-23 02:40:00,2016-09-23 03:00:00)","1","0","4","4","1","0","1","0","0","9","1","2","8","0","10","1"
"[2016-09-23 02:40:00,2016-09-23 03:00:00)","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1"
"[2016-09-23 02:40:00,2016-09-23 03:00:00)","3","0","14","2","0","0","1","0","0","13","4","0","0","17","17","1"
"[2016-09-23 02:40:00,2016-09-23 03:00:00)","4","0","5","0","0","0","0","0","0","4","1","4","1","0","5","1"
"[2016-09-20 03:40:00,2016-09-20 04:00:00)","0","0","2","1","1","0","1","0","0","5","0","0","0","5","5","1"
"[2016-09-20 03:40:00,2016-09-20 04:00:00)","1","0","16","0","1","0","1","0","0","18","0","4","14","0","18","1"
"[2016-09-20 03:40:00,2016-09-20 04:00:00)","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1"
"[2016-09-20 03:40:00,2016-09-20 04:00:00)","3","0","10","0","0","0","1","0","0","11","0","0","0","11","11","1"
"[2016-09-20 03:40:00,2016-09-20 04:00:00)","4","0","3","1","2","0","0","0","0","5","1","3","3","0","6","1"
"[2016-09-27 00:20:00,2016-09-27 00:40:00)","0","0","11","2","3","3","1","0","0","19","1","0","0","20","20","1"
"[2016-09-27 00:20:00,2016-09-27 00:40:00)","1","0","49","13","4","6","5","1","0","63","15","48","30","0","78","1"
"[2016-09-27 00:20:00,2016-09-27 00:40:00)","2","0","1","0","0","0","0","0","0","0","1","0","0","1","1","1"
"[2016-09-27 00:20:00,2016-09-27 00:40:00)","3","0","16","0","1","0","0","0","0","15","2","0","0","17","17","1"
"[2016-09-27 00:20:00,2016-09-27 00:40:00)","4","0","77","4","2","1","3","0","0","63","24","73","14","0","87","1"
"[2016-09-30 09:20:00,2016-09-30 09:40:00)","0","0","56","4","0","1","0","0","0","42","19","0","0","61","61","1"
"[2016-09-30 09:20:00,2016-09-30 09:40:00)","1","0","118","9","1","2","2","0","2","108","26","100","34","0","134","1"
"[2016-09-30 09:20:00,2016-09-30 09:40:00)","2","0","79","12","1","0","0","0","0","74","18","0","0","92","92","1"
"[2016-09-30 09:20:00,2016-09-30 09:40:00)","3","0","125","18","0","1","0","0","0","102","42","0","0","144","144","1"
"[2016-09-30 09:20:00,2016-09-30 09:40:00)","4","0","111","10","5","2","3","0","0","94","37","109","22","0","131","1"
"[2016-10-16 18:00:00,2016-10-16 18:20:00)","0","0","39","0","0","0","0","0","0","27","12","0","0","39","39","0"
"[2016-10-16 18:00:00,2016-10-16 18:20:00)","1","0","70","1","1","3","1","0","0","51","25","70","6","0","76","0"
"[2016-10-16 18:00:00,2016-10-16 18:20:00)","2","0","40","5","0","1","0","0","0","35","11","0","0","46","46","0"
"[2016-10-16 18:00:00,2016-10-16 18:20:00)","3","0","89","15","0","1","0","0","0","76","29","0","0","105","105","0"
"[2016-10-16 18:00:00,2016-10-16 18:20:00)","4","0","84","2","1","0","1","0","0","60","28","82","6","0","88","0"
"[2016-09-24 07:00:00,2016-09-24 07:20:00)","0","0","24","3","1","0","0","0","0","21","7","0","0","28","28","0"
"[2016-09-24 07:00:00,2016-09-24 07:20:00)","1","0","63","8","1","1","1","0","0","58","16","52","22","0","74","0"
"[2016-09-24 07:00:00,2016-09-24 07:20:00)","2","0","40","3","2","1","0","0","0","34","12","0","0","46","46","0"
"[2016-09-24 07:00:00,2016-09-24 07:20:00)","3","0","65","16","0","2","0","0","0","55","28","0","0","83","83","0"
"[2016-09-24 07:00:00,2016-09-24 07:20:00)","4","0","61","6","5","0","1","0","0","59","14","49","24","0","73","0"
"[2016-09-21 11:20:00,2016-09-21 11:40:00)","0","0","22","3","1","1","0","0","0","21","6","0","0","27","27","1"
"[2016-09-21 11:20:00,2016-09-21 11:40:00)","1","0","69","2","6","0","2","0","0","64","15","59","20","0","79","1"
"[2016-09-21 11:20:00,2016-09-21 11:40:00)","2","0","45","13","0","0","0","0","0","47","11","0","0","58","58","1"
"[2016-09-21 11:20:00,2016-09-21 11:40:00)","3","0","70","30","0","1","0","0","0","77","24","0","0","101","101","1"
"[2016-09-21 11:20:00,2016-09-21 11:40:00)","4","0","66","4","1","0","1","0","0","51","21","59","13","0","72","1"
"[2016-09-26 10:40:00,2016-09-26 11:00:00)","0","0","32","3","0","1","0","0","0","31","5","0","0","36","36","1"
"[2016-09-26 10:40:00,2016-09-26 11:00:00)","1","0","64","9","6","1","2","0","0","68","14","53","29","0","82","1"
"[2016-09-26 10:40:00,2016-09-26 11:00:00)","2","0","48","10","0","0","0","0","0","45","13","0","0","58","58","1"
"[2016-09-26 10:40:00,2016-09-26 11:00:00)","3","0","77","22","0","1","0","0","0","82","18","0","0","100","100","1"
"[2016-09-26 10:40:00,2016-09-26 11:00:00)","4","0","84","7","0","0","2","0","0","71","22","75","18","0","93","1"
"[2016-09-20 22:40:00,2016-09-20 23:00:00)","0","0","13","4","2","0","0","0","0","18","1","0","0","19","19","1"
"[2016-09-20 22:40:00,2016-09-20 23:00:00)","1","0","19","5","0","0","0","0","0","18","6","18","6","0","24","1"
"[2016-09-20 22:40:00,2016-09-20 23:00:00)","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1"
"[2016-09-20 22:40:00,2016-09-20 23:00:00)","3","0","18","11","0","0","0","0","0","25","4","0","0","29","29","1"
"[2016-09-20 22:40:00,2016-09-20 23:00:00)","4","0","30","0","2","0","2","0","0","22","12","30","4","0","34","1"
"[2016-09-30 12:00:00,2016-09-30 12:20:00)","0","0","70","4","0","0","0","0","0","52","22","0","0","74","74","1"
"[2016-09-30 12:00:00,2016-09-30 12:20:00)","1","0","128","11","4","0","3","0","0","116","30","112","34","0","146","1"
"[2016-09-30 12:00:00,2016-09-30 12:20:00)","2","0","59","8","0","2","0","0","0","53","16","0","0","69","69","1"
"[2016-09-30 12:00:00,2016-09-30 12:20:00)","3","0","98","22","0","1","0","0","0","101","20","0","0","121","121","1"
"[2016-09-30 12:00:00,2016-09-30 12:20:00)","4","0","97","7","1","0","2","0","0","79","28","88","19","0","107","1"
"[2016-09-20 00:40:00,2016-09-20 01:00:00)","0","0","7","0","0","0","0","0","0","6","1","0","0","7","7","1"
"[2016-09-20 00:40:00,2016-09-20 01:00:00)","1","0","26","5","3","2","1","0","0","30","7","27","10","0","37","1"
"[2016-09-20 00:40:00,2016-09-20 01:00:00)","2","0","2","0","0","0","0","0","0","0","2","0","0","2","2","1"
"[2016-09-20 00:40:00,2016-09-20 01:00:00)","3","0","13","1","0","0","2","0","1","17","0","0","0","17","17","1"
"[2016-09-20 00:40:00,2016-09-20 01:00:00)","4","0","83","3","3","2","1","0","0","67","25","82","10","0","92","1"
"[2016-09-29 07:20:00,2016-09-29 07:40:00)","0","0","24","6","0","0","0","0","0","24","6","0","0","30","30","1"
"[2016-09-29 07:20:00,2016-09-29 07:40:00)","1","0","47","6","1","3","1","0","0","44","14","43","15","0","58","1"
"[2016-09-29 07:20:00,2016-09-29 07:40:00)","2","0","69","3","0","0","0","0","0","43","29","0","0","72","72","1"
"[2016-09-29 07:20:00,2016-09-29 07:40:00)","3","0","94","19","1","2","0","0","0","71","45","0","0","116","116","1"
"[2016-09-29 07:20:00,2016-09-29 07:40:00)","4","0","49","2","1","1","2","0","0","43","12","47","8","0","55","1"
"[2016-09-30 02:40:00,2016-09-30 03:00:00)","0","0","4","1","2","0","0","0","0","7","0","0","0","7","7","1"
"[2016-09-30 02:40:00,2016-09-30 03:00:00)","1","0","3","0","1","0","0","0","0","4","0","2","2","0","4","1"
"[2016-09-30 02:40:00,2016-09-30 03:00:00)","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1"
"[2016-09-30 02:40:00,2016-09-30 03:00:00)","3","0","10","1","1","0","1","0","0","13","0","0","0","13","13","1"
"[2016-09-30 02:40:00,2016-09-30 03:00:00)","4","0","4","1","0","0","3","0","0","7","1","4","4","0","8","1"
"[2016-09-19 09:20:00,2016-09-19 09:40:00)","0","0","41","7","0","1","0","0","0","39","10","0","0","49","49","1"
"[2016-09-19 09:20:00,2016-09-19 09:40:00)","1","0","135","10","1","4","1","0","0","117","34","119","32","0","151","1"
"[2016-09-19 09:20:00,2016-09-19 09:40:00)","2","0","74","4","0","0","0","0","0","60","18","0","0","78","78","1"
"[2016-09-19 09:20:00,2016-09-19 09:40:00)","3","0","125","19","0","0","0","0","0","121","23","0","0","144","144","1"
"[2016-09-19 09:20:00,2016-09-19 09:40:00)","4","0","118","0","6","0","1","0","0","96","29","113","12","0","125","1"
"[2016-09-24 10:00:00,2016-09-24 10:20:00)","0","0","52","4","0","0","0","0","0","46","10","0","0","56","56","0"
"[2016-09-24 10:00:00,2016-09-24 10:20:00)","1","0","64","7","1","5","4","0","2","63","20","55","28","0","83","0"
"[2016-09-24 10:00:00,2016-09-24 10:20:00)","2","0","94","13","0","0","0","0","0","82","25","0","0","107","107","0"
"[2016-09-24 10:00:00,2016-09-24 10:20:00)","3","0","99","20","1","1","0","0","0","97","24","0","0","121","121","0"
"[2016-09-24 10:00:00,2016-09-24 10:20:00)","4","0","88","5","2","1","1","0","0","68","29","83","14","0","97","0"
"[2016-10-14 21:20:00,2016-10-14 21:40:00)","0","0","17","1","0","0","0","0","0","13","5","0","0","18","18","1"
"[2016-10-14 21:20:00,2016-10-14 21:40:00)","1","0","25","2","0","1","3","0","0","23","8","24","7","0","31","1"
"[2016-10-14 21:20:00,2016-10-14 21:40:00)","2","0","21","8","0","0","0","0","0","26","3","0","0","29","29","1"
"[2016-10-14 21:20:00,2016-10-14 21:40:00)","3","0","23","8","0","0","0","0","0","23","8","0","0","31","31","1"
"[2016-10-14 21:20:00,2016-10-14 21:40:00)","4","0","40","0","2","0","2","0","0","36","8","41","3","0","44","1"
"[2016-10-06 11:40:00,2016-10-06 12:00:00)","0","120","15","5","1","2","4","0","0","145","2","0","0","147","147","1"
"[2016-10-06 11:40:00,2016-10-06 12:00:00)","1","0","18","11","0","2","3","0","0","26","8","8","26","0","34","1"
"[2016-10-06 11:40:00,2016-10-06 12:00:00)","2","0","5","1","0","0","0","0","0","0","6","0","0","6","6","1"
"[2016-10-06 11:40:00,2016-10-06 12:00:00)","3","76","14","5","5","1","8","0","0","99","10","0","0","109","109","1"
"[2016-10-06 11:40:00,2016-10-06 12:00:00)","4","0","12","3","0","0","1","0","0","12","4","4","12","0","16","1"
"[2016-09-22 16:40:00,2016-09-22 17:00:00)","0","0","40","2","0","0","0","0","0","29","13","0","0","42","42","1"
"[2016-09-22 16:40:00,2016-09-22 17:00:00)","1","0","97","8","3","1","3","0","1","87","26","88","25","0","113","1"
"[2016-09-22 16:40:00,2016-09-22 17:00:00)","2","0","89","7","0","0","0","0","0","77","19","0","0","96","96","1"
"[2016-09-22 16:40:00,2016-09-22 17:00:00)","3","0","121","24","1","0","0","0","0","111","35","0","0","146","146","1"
"[2016-09-22 16:40:00,2016-09-22 17:00:00)","4","0","79","4","1","0","1","0","1","57","29","74","12","0","86","1"
"[2016-10-03 23:20:00,2016-10-03 23:40:00)","0","18","1","0","0","0","1","0","0","20","0","0","0","20","20","1"
"[2016-10-03 23:20:00,2016-10-03 23:40:00)","1","0","2","3","0","0","0","0","0","3","2","2","3","0","5","1"
"[2016-10-03 23:20:00,2016-10-03 23:40:00)","2","0","2","0","0","0","0","0","0","0","2","0","0","2","2","1"
"[2016-10-03 23:20:00,2016-10-03 23:40:00)","3","19","2","0","0","0","0","0","0","21","0","0","0","21","21","1"
"[2016-10-03 23:20:00,2016-10-03 23:40:00)","4","0","1","0","0","0","0","0","0","0","1","1","0","0","1","1"
"[2016-10-04 01:40:00,2016-10-04 02:00:00)","0","8","1","0","1","0","0","0","0","9","1","0","0","10","10","1"
"[2016-10-04 01:40:00,2016-10-04 02:00:00)","1","0","0","0","0","1","0","0","0","1","0","0","1","0","1","1"
"[2016-10-04 01:40:00,2016-10-04 02:00:00)","2","0","1","0","0","0","0","0","0","0","1","0","0","1","1","1"
"[2016-10-04 01:40:00,2016-10-04 02:00:00)","3","7","3","1","0","0","2","0","0","13","0","0","0","13","13","1"
"[2016-10-04 01:40:00,2016-10-04 02:00:00)","4","0","0","0","0","0","1","0","0","1","0","0","1","0","1","1"
"[2016-09-22 21:20:00,2016-09-22 21:40:00)","0","0","17","1","0","0","0","0","0","14","4","0","0","18","18","1"
"[2016-09-22 21:20:00,2016-09-22 21:40:00)","1","0","16","2","0","0","2","0","0","18","2","16","4","0","20","1"
"[2016-09-22 21:20:00,2016-09-22 21:40:00)","2","0","20","8","0","0","0","0","0","20","8","0","0","28","28","1"
"[2016-09-22 21:20:00,2016-09-22 21:40:00)","3","0","14","13","0","0","0","0","0","24","3","0","0","27","27","1"
"[2016-09-22 21:20:00,2016-09-22 21:40:00)","4","0","37","3","1","0","2","0","0","32","11","36","7","0","43","1"
"[2016-09-25 17:00:00,2016-09-25 17:20:00)","0","0","61","1","1","0","0","0","0","43","20","0","0","63","63","0"
"[2016-09-25 17:00:00,2016-09-25 17:20:00)","1","0","92","6","1","5","1","0","0","79","26","87","18","0","105","0"
"[2016-09-25 17:00:00,2016-09-25 17:20:00)","2","0","82","2","0","0","0","0","0","61","23","0","0","84","84","0"
"[2016-09-25 17:00:00,2016-09-25 17:20:00)","3","0","91","26","0","2","0","0","0","86","33","0","0","119","119","0"
"[2016-09-25 17:00:00,2016-09-25 17:20:00)","4","0","112","4","0","1","1","0","0","95","23","114","4","0","118","0"
"[2016-09-22 05:00:00,2016-09-22 05:20:00)","0","0","2","3","0","0","0","0","0","5","0","0","0","5","5","1"
"[2016-09-22 05:00:00,2016-09-22 05:20:00)","1","0","17","6","0","0","4","0","0","26","1","10","17","0","27","1"
"[2016-09-22 05:00:00,2016-09-22 05:20:00)","2","0","5","13","0","0","0","0","0","18","0","0","0","18","18","1"
"[2016-09-22 05:00:00,2016-09-22 05:20:00)","3","0","7","9","0","0","0","0","0","13","3","0","0","16","16","1"
"[2016-09-22 05:00:00,2016-09-22 05:20:00)","4","0","7","0","2","1","4","0","0","12","2","3","11","0","14","1"
"[2016-09-19 04:40:00,2016-09-19 05:00:00)","0","0","8","2","1","0","1","0","0","12","0","0","0","12","12","1"
"[2016-09-19 04:40:00,2016-09-19 05:00:00)","1","0","17","3","2","0","1","0","0","23","0","8","15","0","23","1"
"[2016-09-19 04:40:00,2016-09-19 05:00:00)","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1"
"[2016-09-19 04:40:00,2016-09-19 05:00:00)","3","0","9","0","0","0","1","0","0","9","1","0","0","10","10","1"
"[2016-09-19 04:40:00,2016-09-19 05:00:00)","4","0","0","0","1","1","1","0","0","3","0","0","3","0","3","1"
"[2016-10-01 03:20:00,2016-10-01 03:40:00)","0","41","2","2","2","0","1","0","0","48","0","0","0","48","48","0"
"[2016-10-01 03:20:00,2016-10-01 03:40:00)","1","0","2","0","0","0","0","0","0","2","0","0","2","0","2","0"
"[2016-10-01 03:20:00,2016-10-01 03:40:00)","2","0","2","0","0","0","0","0","0","0","2","0","0","2","2","0"
"[2016-10-01 03:20:00,2016-10-01 03:40:00)","3","16","6","2","0","0","0","0","0","21","3","0","0","24","24","0"
"[2016-10-01 03:20:00,2016-10-01 03:40:00)","4","0","2","1","0","0","0","0","0","3","0","0","3","0","3","0"
"[2016-09-30 10:40:00,2016-09-30 11:00:00)","0","0","68","3","0","0","0","0","0","57","14","0","0","71","71","1"
"[2016-09-30 10:40:00,2016-09-30 11:00:00)","1","0","112","17","1","3","2","0","2","110","27","97","40","0","137","1"
"[2016-09-30 10:40:00,2016-09-30 11:00:00)","2","0","65","12","0","0","0","0","0","56","21","0","0","77","77","1"
"[2016-09-30 10:40:00,2016-09-30 11:00:00)","3","0","101","28","1","0","0","0","0","100","30","0","0","130","130","1"
"[2016-09-30 10:40:00,2016-09-30 11:00:00)","4","0","96","4","1","1","3","0","0","84","21","89","16","0","105","1"
"[2016-10-13 01:00:00,2016-10-13 01:20:00)","0","0","7","2","1","0","0","0","0","8","2","0","0","10","10","1"
"[2016-10-13 01:00:00,2016-10-13 01:20:00)","1","0","5","0","0","0","0","0","0","3","2","5","0","0","5","1"
"[2016-10-13 01:00:00,2016-10-13 01:20:00)","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1"
"[2016-10-13 01:00:00,2016-10-13 01:20:00)","3","0","15","2","0","0","0","0","0","16","1","0","0","17","17","1"
"[2016-10-13 01:00:00,2016-10-13 01:20:00)","4","0","6","1","0","0","1","0","0","7","1","7","1","0","8","1"
"[2016-09-23 15:20:00,2016-09-23 15:40:00)","0","0","62","3","1","0","0","0","0","48","18","0","0","66","66","1"
"[2016-09-23 15:20:00,2016-09-23 15:40:00)","1","0","94","8","6","1","3","0","1","84","29","87","26","0","113","1"
"[2016-09-23 15:20:00,2016-09-23 15:40:00)","2","0","78","13","0","2","0","0","0","64","29","0","0","93","93","1"
"[2016-09-23 15:20:00,2016-09-23 15:40:00)","3","0","123","26","0","1","0","0","0","114","36","0","0","150","150","1"
"[2016-09-23 15:20:00,2016-09-23 15:40:00)","4","0","112","2","4","0","2","0","0","88","32","104","16","0","120","1"
"[2016-09-24 10:20:00,2016-09-24 10:40:00)","0","0","66","3","1","0","0","0","0","60","10","0","0","70","70","0"
"[2016-09-24 10:20:00,2016-09-24 10:40:00)","1","0","66","8","3","3","6","0","0","71","15","63","23","0","86","0"
"[2016-09-24 10:20:00,2016-09-24 10:40:00)","2","0","77","8","0","0","0","0","0","65","20","0","0","85","85","0"
"[2016-09-24 10:20:00,2016-09-24 10:40:00)","3","1","97","20","0","1","0","0","0","99","20","0","0","119","119","0"
"[2016-09-24 10:20:00,2016-09-24 10:40:00)","4","0","92","2","2","0","3","0","0","78","21","83","16","0","99","0"
"[2016-10-05 16:20:00,2016-10-05 16:40:00)","0","214","25","4","1","1","1","0","0","236","10","0","0","246","246","1"
"[2016-10-05 16:20:00,2016-10-05 16:40:00)","1","0","12","2","1","0","2","0","0","11","6","6","11","0","17","1"
"[2016-10-05 16:20:00,2016-10-05 16:40:00)","2","0","17","0","2","1","0","0","0","0","20","0","0","20","20","1"
"[2016-10-05 16:20:00,2016-10-05 16:40:00)","3","100","32","9","1","3","4","0","0","129","20","0","0","149","149","1"
"[2016-10-05 16:20:00,2016-10-05 16:40:00)","4","0","22","2","1","0","1","0","0","9","17","17","9","0","26","1"
"[2016-10-08 06:20:00,2016-10-08 06:40:00)","0","0","11","1","0","0","0","0","0","8","4","0","0","12","12","0"
"[2016-10-08 06:20:00,2016-10-08 06:40:00)","1","0","26","8","2","0","1","0","1","31","7","15","23","0","38","0"
"[2016-10-08 06:20:00,2016-10-08 06:40:00)","2","0","23","4","0","0","0","0","0","23","4","0","0","27","27","0"
"[2016-10-08 06:20:00,2016-10-08 06:40:00)","3","0","44","12","0","0","0","0","0","41","15","0","0","56","56","0"
"[2016-10-08 06:20:00,2016-10-08 06:40:00)","4","0","18","7","3","0","0","0","0","25","3","14","14","0","28","0"
"[2016-10-10 09:20:00,2016-10-10 09:40:00)","0","0","40","4","0","0","0","0","0","33","11","0","0","44","44","1"
"[2016-10-10 09:20:00,2016-10-10 09:40:00)","1","0","103","9","6","1","3","0","1","103","20","86","37","0","123","1"
"[2016-10-10 09:20:00,2016-10-10 09:40:00)","2","0","81","11","0","0","0","0","0","74","18","0","0","92","92","1"
"[2016-10-10 09:20:00,2016-10-10 09:40:00)","3","0","124","26","1","2","0","0","0","110","43","0","0","153","153","1"
"[2016-10-10 09:20:00,2016-10-10 09:40:00)","4","0","101","4","3","0","1","0","0","79","30","98","11","0","109","1"
"[2016-10-17 12:40:00,2016-10-17 13:00:00)","0","0","39","4","1","0","0","0","0","34","10","0","0","44","44","1"
"[2016-10-17 12:40:00,2016-10-17 13:00:00)","1","0","70","9","3","1","4","0","0","68","19","60","27","0","87","1"
"[2016-10-17 12:40:00,2016-10-17 13:00:00)","2","0","59","11","0","0","0","0","0","56","14","0","0","70","70","1"
"[2016-10-17 12:40:00,2016-10-17 13:00:00)","3","0","76","13","0","1","0","0","0","67","23","0","0","90","90","1"
"[2016-10-17 12:40:00,2016-10-17 13:00:00)","4","0","93","6","1","0","11","0","0","88","23","79","32","0","111","1"
"[2016-10-09 07:40:00,2016-10-09 08:00:00)","0","0","32","1","0","0","0","0","0","21","12","0","0","33","33","0"
"[2016-10-09 07:40:00,2016-10-09 08:00:00)","1","0","77","6","9","1","0","0","0","66","27","70","23","0","93","0"
"[2016-10-09 07:40:00,2016-10-09 08:00:00)","2","0","91","9","0","0","0","0","0","63","37","0","0","100","100","0"
"[2016-10-09 07:40:00,2016-10-09 08:00:00)","3","0","101","9","0","0","0","0","0","73","37","0","0","110","110","0"
"[2016-10-09 07:40:00,2016-10-09 08:00:00)","4","0","75","4","1","0","0","0","0","61","19","72","8","0","80","0"
"[2016-10-10 16:40:00,2016-10-10 17:00:00)","0","0","24","4","0","0","0","0","0","21","7","0","0","28","28","1"
