tollgate_id,time_window,direction,volume,start_time,date,time,day_of_week,week_day_1,week_day_2,week_day_3,week_day_4,week_day_5,week_day_6,week_day_7,is_weekend,month,day,hour,minute,time_win_label,lengthSum,widthSum,lanesSum,laneWidthSum,intersectionNum,linkNum,vehicle_model[0]_2h_ago,vehicle_model[1]_2h_ago,vehicle_model[2]_2h_ago,vehicle_model[3]_2h_ago,vehicle_model[4]_2h_ago,vehicle_model[5]_2h_ago,vehicle_model[6]_2h_ago,vehicle_model[7]_2h_ago,has_etc[0]_2h_ago,has_etc[1]_2h_ago,working_day_2h_ago,total_volume_2h_ago,vehicle_model[0]_1d2h_ago,vehicle_model[1]_1d2h_ago,vehicle_model[2]_1d2h_ago,vehicle_model[3]_1d2h_ago,vehicle_model[4]_1d2h_ago,vehicle_model[5]_1d2h_ago,vehicle_model[6]_1d2h_ago,vehicle_model[7]_1d2h_ago,has_etc[0]_1d2h_ago,has_etc[1]_1d2h_ago,working_day_1d2h_ago,total_volume_1d2h_ago,total_volume
1.0,"[2016-09-20 02:40:00,2016-09-20 03:00:00)",0.0,7.0,2016-09-20 02:40:00,2016-09-20,02:40:00,2,0,1,0,0,0,0,0,0,9,20,2,40,8,2371,150,50,63,2,21,0,7,0,0,0,0,0,0,6,1,1,7,0,6,1,0,1,1,0,0,8,1,1,9,7
1.0,"[2016-09-20 02:40:00,2016-09-20 03:00:00)",1.0,8.0,2016-09-20 02:40:00,2016-09-20,02:40:00,2,0,1,0,0,0,0,0,0,9,20,2,40,8,2371,150,50,63,2,21,0,26,5,3,2,1,0,0,30,7,1,37,0,20,8,2,1,0,0,0,26,5,1,31,8
3.0,"[2016-09-20 02:40:00,2016-09-20 03:00:00)",0.0,13.0,2016-09-20 02:40:00,2016-09-20,02:40:00,2,0,1,0,0,0,0,0,0,9,20,2,40,8,2535,162,54,63,3,21,0,13,1,0,0,2,0,1,17,0,1,17,0,13,2,1,0,0,0,0,15,1,1,16,13
3.0,"[2016-09-20 02:40:00,2016-09-20 03:00:00)",1.0,8.0,2016-09-20 02:40:00,2016-09-20,02:40:00,2,0,1,0,0,0,0,0,0,9,20,2,40,8,2535,162,54,63,3,21,0,83,3,3,2,1,0,0,67,25,1,92,0,73,8,7,3,1,0,1,68,25,1,93,8
2.0,"[2016-09-20 02:40:00,2016-09-20 03:00:00)",0.0,0.0,2016-09-20 02:40:00,2016-09-20,02:40:00,2,0,1,0,0,0,0,0,0,9,20,2,40,8,384,42,14,18,1,6,0,2,0,0,0,0,0,0,0,2,1,2,0,0,0,0,0,0,0,0,0,0,1,0,0
3.0,"[2016-09-20 03:00:00,2016-09-20 03:20:00)",0.0,7.0,2016-09-20 03:00:00,2016-09-20,03:00:00,2,0,1,0,0,0,0,0,0,9,20,3,0,9,2535,162,54,63,3,21,0,14,0,1,0,0,0,0,14,1,1,15,0,16,0,0,0,1,0,0,16,1,1,17,7
3.0,"[2016-09-20 03:00:00,2016-09-20 03:20:00)",1.0,6.0,2016-09-20 03:00:00,2016-09-20,03:00:00,2,0,1,0,0,0,0,0,0,9,20,3,0,9,2535,162,54,63,3,21,0,7,1,0,0,1,0,0,7,2,1,9,0,4,0,0,0,0,0,0,3,1,1,4,6
1.0,"[2016-09-20 03:00:00,2016-09-20 03:20:00)",0.0,10.0,2016-09-20 03:00:00,2016-09-20,03:00:00,2,0,1,0,0,0,0,0,0,9,20,3,0,9,2371,150,50,63,2,21,0,4,1,0,0,1,0,0,4,2,1,6,0,7,0,0,0,3,0,0,9,1,1,10,10
1.0,"[2016-09-20 03:00:00,2016-09-20 03:20:00)",1.0,2.0,2016-09-20 03:00:00,2016-09-20,03:00:00,2,0,1,0,0,0,0,0,0,9,20,3,0,9,2371,150,50,63,2,21,0,4,0,1,0,1,0,0,6,0,1,6,0,3,1,0,0,0,0,0,3,1,1,4,2
2.0,"[2016-09-20 03:00:00,2016-09-20 03:20:00)",0.0,0.0,2016-09-20 03:00:00,2016-09-20,03:00:00,2,0,1,0,0,0,0,0,0,9,20,3,0,9,384,42,14,18,1,6,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,1,0
1.0,"[2016-09-20 03:20:00,2016-09-20 03:40:00)",0.0,8.0,2016-09-20 03:20:00,2016-09-20,03:20:00,2,0,1,0,0,0,0,0,0,9,20,3,20,10,2371,150,50,63,2,21,0,3,0,2,0,0,0,0,4,1,1,5,1,10,1,1,0,1,0,0,11,3,1,14,8
1.0,"[2016-09-20 03:20:00,2016-09-20 03:40:00)",1.0,13.0,2016-09-20 03:20:00,2016-09-20,03:20:00,2,0,1,0,0,0,0,0,0,9,20,3,20,10,2371,150,50,63,2,21,0,6,1,1,0,0,0,0,8,0,1,8,0,9,3,0,0,2,0,0,12,2,1,14,13
3.0,"[2016-09-20 03:20:00,2016-09-20 03:40:00)",0.0,8.0,2016-09-20 03:20:00,2016-09-20,03:20:00,2,0,1,0,0,0,0,0,0,9,20,3,20,10,2535,162,54,63,3,21,0,12,0,0,0,2,0,0,12,2,1,14,0,14,0,1,0,2,0,0,15,2,1,17,8
3.0,"[2016-09-20 03:20:00,2016-09-20 03:40:00)",1.0,3.0,2016-09-20 03:20:00,2016-09-20,03:20:00,2,0,1,0,0,0,0,0,0,9,20,3,20,10,2535,162,54,63,3,21,0,10,0,0,0,0,0,0,9,1,1,10,0,4,0,0,0,1,0,0,4,1,1,5,3
2.0,"[2016-09-20 03:20:00,2016-09-20 03:40:00)",0.0,0.0,2016-09-20 03:20:00,2016-09-20,03:20:00,2,0,1,0,0,0,0,0,0,9,20,3,20,10,384,42,14,18,1,6,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0
1.0,"[2016-09-20 03:40:00,2016-09-20 04:00:00)",0.0,5.0,2016-09-20 03:40:00,2016-09-20,03:40:00,2,0,1,0,0,0,0,0,0,9,20,3,40,11,2371,150,50,63,2,21,0,4,0,0,0,1,0,0,4,1,1,5,0,9,0,0,0,1,0,0,10,0,1,10,5
1.0,"[2016-09-20 03:40:00,2016-09-20 04:00:00)",1.0,18.0,2016-09-20 03:40:00,2016-09-20,03:40:00,2,0,1,0,0,0,0,0,0,9,20,3,40,11,2371,150,50,63,2,21,0,10,0,1,0,0,0,0,10,1,1,11,0,5,1,1,0,0,0,0,6,1,1,7,18
3.0,"[2016-09-20 03:40:00,2016-09-20 04:00:00)",0.0,11.0,2016-09-20 03:40:00,2016-09-20,03:40:00,2,0,1,0,0,0,0,0,0,9,20,3,40,11,2535,162,54,63,3,21,0,15,3,0,0,0,0,0,17,1,1,18,0,7,1,1,0,2,0,0,11,0,1,11,11
3.0,"[2016-09-20 03:40:00,2016-09-20 04:00:00)",1.0,6.0,2016-09-20 03:40:00,2016-09-20,03:40:00,2,0,1,0,0,0,0,0,0,9,20,3,40,11,2535,162,54,63,3,21,0,3,1,1,0,0,0,0,4,1,1,5,0,3,0,0,0,1,0,0,4,0,1,4,6
2.0,"[2016-09-20 03:40:00,2016-09-20 04:00:00)",0.0,0.0,2016-09-20 03:40:00,2016-09-20,03:40:00,2,0,1,0,0,0,0,0,0,9,20,3,40,11,384,42,14,18,1,6,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,2,1,2,0
3.0,"[2016-09-20 04:00:00,2016-09-20 04:20:00)",0.0,10.0,2016-09-20 04:00:00,2016-09-20,04:00:00,2,0,1,0,0,0,0,0,0,9,20,4,0,12,2535,162,54,63,3,21,0,9,1,0,0,0,0,2,11,1,1,12,0,10,1,0,0,0,0,0,11,0,1,11,10
3.0,"[2016-09-20 04:00:00,2016-09-20 04:20:00)",1.0,6.0,2016-09-20 04:00:00,2016-09-20,04:00:00,2,0,1,0,0,0,0,0,0,9,20,4,0,12,2535,162,54,63,3,21,0,3,0,1,0,0,0,0,4,0,1,4,0,3,1,0,0,1,0,0,5,0,1,5,6
1.0,"[2016-09-20 04:00:00,2016-09-20 04:20:00)",0.0,11.0,2016-09-20 04:00:00,2016-09-20,04:00:00,2,0,1,0,0,0,0,0,0,9,20,4,0,12,2371,150,50,63,2,21,0,2,0,1,0,3,0,0,6,0,1,6,0,3,1,0,1,2,0,0,6,1,1,7,11
1.0,"[2016-09-20 04:00:00,2016-09-20 04:20:00)",1.0,20.0,2016-09-20 04:00:00,2016-09-20,04:00:00,2,0,1,0,0,0,0,0,0,9,20,4,0,12,2371,150,50,63,2,21,0,5,0,2,1,0,0,0,7,1,1,8,0,4,1,0,0,2,0,0,6,1,1,7,20
2.0,"[2016-09-20 04:00:00,2016-09-20 04:20:00)",0.0,0.0,2016-09-20 04:00:00,2016-09-20,04:00:00,2,0,1,0,0,0,0,0,0,9,20,4,0,12,384,42,14,18,1,6,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
3.0,"[2016-09-20 04:20:00,2016-09-20 04:40:00)",0.0,9.0,2016-09-20 04:20:00,2016-09-20,04:20:00,2,0,1,0,0,0,0,0,0,9,20,4,20,13,2535,162,54,63,3,21,0,15,0,1,0,1,0,0,17,0,1,17,0,11,1,2,0,0,0,0,14,0,1,14,9
3.0,"[2016-09-20 04:20:00,2016-09-20 04:40:00)",1.0,6.0,2016-09-20 04:20:00,2016-09-20,04:20:00,2,0,1,0,0,0,0,0,0,9,20,4,20,13,2535,162,54,63,3,21,0,2,1,0,0,1,0,0,3,1,1,4,0,3,0,1,0,0,0,0,2,2,1,4,6
1.0,"[2016-09-20 04:20:00,2016-09-20 04:40:00)",0.0,8.0,2016-09-20 04:20:00,2016-09-20,04:20:00,2,0,1,0,0,0,0,0,0,9,20,4,20,13,2371,150,50,63,2,21,0,4,2,1,0,2,0,0,7,2,1,9,0,3,5,0,0,2,0,0,9,1,1,10,8
1.0,"[2016-09-20 04:20:00,2016-09-20 04:40:00)",1.0,17.0,2016-09-20 04:20:00,2016-09-20,04:20:00,2,0,1,0,0,0,0,0,0,9,20,4,20,13,2371,150,50,63,2,21,0,6,0,4,0,2,0,0,11,1,1,12,0,5,0,0,0,2,0,0,7,0,1,7,17
2.0,"[2016-09-20 04:20:00,2016-09-20 04:40:00)",0.0,0.0,2016-09-20 04:20:00,2016-09-20,04:20:00,2,0,1,0,0,0,0,0,0,9,20,4,20,13,384,42,14,18,1,6,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1.0,"[2016-09-20 04:40:00,2016-09-20 05:00:00)",0.0,15.0,2016-09-20 04:40:00,2016-09-20,04:40:00,2,0,1,0,0,0,0,0,0,9,20,4,40,14,2371,150,50,63,2,21,0,4,1,0,0,2,0,0,7,0,1,7,0,0,1,3,1,1,0,0,6,0,1,6,15
1.0,"[2016-09-20 04:40:00,2016-09-20 05:00:00)",1.0,20.0,2016-09-20 04:40:00,2016-09-20,04:40:00,2,0,1,0,0,0,0,0,0,9,20,4,40,14,2371,150,50,63,2,21,0,6,0,0,0,2,0,0,7,1,1,8,0,8,1,0,0,1,0,0,10,0,1,10,20
3.0,"[2016-09-20 04:40:00,2016-09-20 05:00:00)",0.0,11.0,2016-09-20 04:40:00,2016-09-20,04:40:00,2,0,1,0,0,0,0,0,0,9,20,4,40,14,2535,162,54,63,3,21,0,11,1,1,0,0,0,0,10,3,1,13,0,14,4,0,0,0,0,0,16,2,1,18,11
3.0,"[2016-09-20 04:40:00,2016-09-20 05:00:00)",1.0,4.0,2016-09-20 04:40:00,2016-09-20,04:40:00,2,0,1,0,0,0,0,0,0,9,20,4,40,14,2535,162,54,63,3,21,0,6,1,0,0,1,0,0,7,1,1,8,0,0,0,0,0,0,0,0,0,0,1,0,4
2.0,"[2016-09-20 04:40:00,2016-09-20 05:00:00)",0.0,0.0,2016-09-20 04:40:00,2016-09-20,04:40:00,2,0,1,0,0,0,0,0,0,9,20,4,40,14,384,42,14,18,1,6,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2.0,"[2016-09-20 05:00:00,2016-09-20 05:20:00)",0.0,5.0,2016-09-20 05:00:00,2016-09-20,05:00:00,2,0,1,0,0,0,0,0,0,9,20,5,0,15,384,42,14,18,1,6,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,5
1.0,"[2016-09-20 05:00:00,2016-09-20 05:20:00)",0.0,9.0,2016-09-20 05:00:00,2016-09-20,05:00:00,2,0,1,0,0,0,0,0,0,9,20,5,0,15,2371,150,50,63,2,21,0,2,2,2,1,3,0,0,10,0,1,10,0,5,2,0,0,2,0,0,9,0,1,9,9
1.0,"[2016-09-20 05:00:00,2016-09-20 05:20:00)",1.0,27.0,2016-09-20 05:00:00,2016-09-20,05:00:00,2,0,1,0,0,0,0,0,0,9,20,5,0,15,2371,150,50,63,2,21,0,1,0,0,0,1,0,0,2,0,1,2,0,7,2,1,0,0,0,0,10,0,1,10,27
3.0,"[2016-09-20 05:00:00,2016-09-20 05:20:00)",0.0,12.0,2016-09-20 05:00:00,2016-09-20,05:00:00,2,0,1,0,0,0,0,0,0,9,20,5,0,15,2535,162,54,63,3,21,0,6,0,0,0,1,0,0,6,1,1,7,0,8,1,1,0,0,0,0,10,0,1,10,12
3.0,"[2016-09-20 05:00:00,2016-09-20 05:20:00)",1.0,12.0,2016-09-20 05:00:00,2016-09-20,05:00:00,2,0,1,0,0,0,0,0,0,9,20,5,0,15,2535,162,54,63,3,21,0,3,1,0,0,2,0,0,6,0,1,6,0,3,2,0,0,0,0,0,4,1,1,5,12
1.0,"[2016-09-20 05:20:00,2016-09-20 05:40:00)",0.0,4.0,2016-09-20 05:20:00,2016-09-20,05:20:00,2,0,1,0,0,0,0,0,0,9,20,5,20,16,2371,150,50,63,2,21,0,2,2,1,0,3,0,0,8,0,1,8,0,3,0,1,0,0,0,0,3,1,1,4,4
1.0,"[2016-09-20 05:20:00,2016-09-20 05:40:00)",1.0,37.0,2016-09-20 05:20:00,2016-09-20,05:20:00,2,0,1,0,0,0,0,0,0,9,20,5,20,16,2371,150,50,63,2,21,0,10,2,0,1,0,0,0,13,0,1,13,0,8,3,0,0,3,0,0,14,0,1,14,37
3.0,"[2016-09-20 05:20:00,2016-09-20 05:40:00)",0.0,17.0,2016-09-20 05:20:00,2016-09-20,05:20:00,2,0,1,0,0,0,0,0,0,9,20,5,20,16,2535,162,54,63,3,21,0,6,1,1,0,0,0,0,8,0,1,8,0,9,1,0,0,0,0,0,10,0,1,10,17
3.0,"[2016-09-20 05:20:00,2016-09-20 05:40:00)",1.0,12.0,2016-09-20 05:20:00,2016-09-20,05:20:00,2,0,1,0,0,0,0,0,0,9,20,5,20,16,2535,162,54,63,3,21,0,0,1,0,0,2,0,0,3,0,1,3,0,2,0,1,0,0,0,0,3,0,1,3,12
2.0,"[2016-09-20 05:20:00,2016-09-20 05:40:00)",0.0,18.0,2016-09-20 05:20:00,2016-09-20,05:20:00,2,0,1,0,0,0,0,0,0,9,20,5,20,16,384,42,14,18,1,6,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,18
3.0,"[2016-09-20 05:40:00,2016-09-20 06:00:00)",0.0,20.0,2016-09-20 05:40:00,2016-09-20,05:40:00,2,0,1,0,0,0,0,0,0,9,20,5,40,17,2535,162,54,63,3,21,0,10,0,0,0,1,0,0,11,0,1,11,0,8,0,0,0,1,0,0,9,0,1,9,20
3.0,"[2016-09-20 05:40:00,2016-09-20 06:00:00)",1.0,18.0,2016-09-20 05:40:00,2016-09-20,05:40:00,2,0,1,0,0,0,0,0,0,9,20,5,40,17,2535,162,54,63,3,21,0,3,1,2,0,0,0,0,5,1,1,6,0,5,0,1,1,3,0,0,9,1,1,10,18
1.0,"[2016-09-20 05:40:00,2016-09-20 06:00:00)",0.0,10.0,2016-09-20 05:40:00,2016-09-20,05:40:00,2,0,1,0,0,0,0,0,0,9,20,5,40,17,2371,150,50,63,2,21,0,2,1,1,0,1,0,0,5,0,1,5,0,5,1,2,0,1,0,0,7,2,1,9,10
1.0,"[2016-09-20 05:40:00,2016-09-20 06:00:00)",1.0,35.0,2016-09-20 05:40:00,2016-09-20,05:40:00,2,0,1,0,0,0,0,0,0,9,20,5,40,17,2371,150,50,63,2,21,0,16,0,1,0,1,0,0,18,0,1,18,0,17,0,1,0,2,0,0,18,2,1,20,35
2.0,"[2016-09-20 05:40:00,2016-09-20 06:00:00)",0.0,21.0,2016-09-20 05:40:00,2016-09-20,05:40:00,2,0,1,0,0,0,0,0,0,9,20,5,40,17,384,42,14,18,1,6,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,21
1.0,"[2016-09-20 06:00:00,2016-09-20 06:20:00)",0.0,13.0,2016-09-20 06:00:00,2016-09-20,06:00:00,2,0,1,0,0,0,0,0,0,9,20,6,0,18,2371,150,50,63,2,21,0,4,2,4,0,1,0,0,11,0,1,11,0,6,2,1,0,1,0,0,10,0,1,10,13
1.0,"[2016-09-20 06:00:00,2016-09-20 06:20:00)",1.0,47.0,2016-09-20 06:00:00,2016-09-20,06:00:00,2,0,1,0,0,0,0,0,0,9,20,6,0,18,2371,150,50,63,2,21,0,14,2,1,0,3,0,0,20,0,1,20,0,18,0,0,0,0,0,0,18,0,1,18,47
2.0,"[2016-09-20 06:00:00,2016-09-20 06:20:00)",0.0,33.0,2016-09-20 06:00:00,2016-09-20,06:00:00,2,0,1,0,0,0,0,0,0,9,20,6,0,18,384,42,14,18,1,6,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,33
3.0,"[2016-09-20 06:00:00,2016-09-20 06:20:00)",0.0,31.0,2016-09-20 06:00:00,2016-09-20,06:00:00,2,0,1,0,0,0,0,0,0,9,20,6,0,18,2535,162,54,63,3,21,0,9,1,0,0,0,0,0,8,2,1,10,0,9,0,2,0,0,0,0,10,1,1,11,31
3.0,"[2016-09-20 06:00:00,2016-09-20 06:20:00)",1.0,24.0,2016-09-20 06:00:00,2016-09-20,06:00:00,2,0,1,0,0,0,0,0,0,9,20,6,0,18,2535,162,54,63,3,21,0,3,0,2,0,1,0,0,6,0,1,6,0,3,0,0,1,0,0,0,4,0,1,4,24
2.0,"[2016-09-20 06:20:00,2016-09-20 06:40:00)",0.0,31.0,2016-09-20 06:20:00,2016-09-20,06:20:00,2,0,1,0,0,0,0,0,0,9,20,6,20,19,384,42,14,18,1,6,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,31
3.0,"[2016-09-20 06:20:00,2016-09-20 06:40:00)",0.0,43.0,2016-09-20 06:20:00,2016-09-20,06:20:00,2,0,1,0,0,0,0,0,0,9,20,6,20,19,2535,162,54,63,3,21,0,5,2,2,0,0,0,0,9,0,1,9,0,5,1,2,0,0,0,0,8,0,1,8,43
3.0,"[2016-09-20 06:20:00,2016-09-20 06:40:00)",1.0,43.0,2016-09-20 06:20:00,2016-09-20,06:20:00,2,0,1,0,0,0,0,0,0,9,20,6,20,19,2535,162,54,63,3,21,0,4,1,0,0,1,0,0,3,3,1,6,0,5,1,1,0,0,0,0,5,2,1,7,43
1.0,"[2016-09-20 06:20:00,2016-09-20 06:40:00)",0.0,20.0,2016-09-20 06:20:00,2016-09-20,06:20:00,2,0,1,0,0,0,0,0,0,9,20,6,20,19,2371,150,50,63,2,21,0,3,3,0,0,2,0,0,7,1,1,8,0,9,2,1,0,1,0,0,13,0,1,13,20
1.0,"[2016-09-20 06:20:00,2016-09-20 06:40:00)",1.0,59.0,2016-09-20 06:20:00,2016-09-20,06:20:00,2,0,1,0,0,0,0,0,0,9,20,6,20,19,2371,150,50,63,2,21,0,14,2,0,0,1,0,0,14,3,1,17,0,13,0,1,2,1,0,0,15,2,1,17,59
1.0,"[2016-09-20 06:40:00,2016-09-20 07:00:00)",0.0,29.0,2016-09-20 06:40:00,2016-09-20,06:40:00,2,0,1,0,0,0,0,0,0,9,20,6,40,20,2371,150,50,63,2,21,0,6,5,2,1,1,0,0,14,1,1,15,0,8,2,1,0,1,0,0,12,0,1,12,29
1.0,"[2016-09-20 06:40:00,2016-09-20 07:00:00)",1.0,69.0,2016-09-20 06:40:00,2016-09-20,06:40:00,2,0,1,0,0,0,0,0,0,9,20,6,40,20,2371,150,50,63,2,21,0,17,1,1,0,1,0,0,17,3,1,20,0,17,3,2,0,1,0,0,23,0,1,23,69
3.0,"[2016-09-20 06:40:00,2016-09-20 07:00:00)",0.0,80.0,2016-09-20 06:40:00,2016-09-20,06:40:00,2,0,1,0,0,0,0,0,0,9,20,6,40,20,2535,162,54,63,3,21,0,7,2,1,0,1,0,0,9,2,1,11,0,9,0,0,0,1,0,0,9,1,1,10,80
3.0,"[2016-09-20 06:40:00,2016-09-20 07:00:00)",1.0,66.0,2016-09-20 06:40:00,2016-09-20,06:40:00,2,0,1,0,0,0,0,0,0,9,20,6,40,20,2535,162,54,63,3,21,0,4,0,0,0,0,0,0,4,0,1,4,0,0,0,1,1,1,0,0,3,0,1,3,66
2.0,"[2016-09-20 06:40:00,2016-09-20 07:00:00)",0.0,54.0,2016-09-20 06:40:00,2016-09-20,06:40:00,2,0,1,0,0,0,0,0,0,9,20,6,40,20,384,42,14,18,1,6,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,54
1.0,"[2016-09-20 07:00:00,2016-09-20 07:20:00)",0.0,38.0,2016-09-20 07:00:00,2016-09-20,07:00:00,2,0,1,0,0,0,0,0,0,9,20,7,0,21,2371,150,50,63,2,21,0,3,5,1,0,0,0,0,8,1,1,9,0,0,2,0,0,0,0,0,2,0,1,2,38
1.0,"[2016-09-20 07:00:00,2016-09-20 07:20:00)",1.0,88.0,2016-09-20 07:00:00,2016-09-20,07:00:00,2,0,1,0,0,0,0,0,0,9,20,7,0,21,2371,150,50,63,2,21,0,20,3,1,0,3,0,0,27,0,1,27,0,24,2,0,0,2,0,0,25,3,1,28,88
3.0,"[2016-09-20 07:00:00,2016-09-20 07:20:00)",0.0,113.0,2016-09-20 07:00:00,2016-09-20,07:00:00,2,0,1,0,0,0,0,0,0,9,20,7,0,21,2535,162,54,63,3,21,0,8,4,0,0,0,0,0,10,2,1,12,0,4,5,0,0,0,0,0,7,2,1,9,113
3.0,"[2016-09-20 07:00:00,2016-09-20 07:20:00)",1.0,83.0,2016-09-20 07:00:00,2016-09-20,07:00:00,2,0,1,0,0,0,0,0,0,9,20,7,0,21,2535,162,54,63,3,21,0,5,2,2,0,3,0,0,9,3,1,12,0,4,3,1,0,3,0,0,10,1,1,11,83
2.0,"[2016-09-20 07:00:00,2016-09-20 07:20:00)",0.0,79.0,2016-09-20 07:00:00,2016-09-20,07:00:00,2,0,1,0,0,0,0,0,0,9,20,7,0,21,384,42,14,18,1,6,0,4,1,0,0,0,0,0,5,0,1,5,0,9,5,0,0,0,0,0,13,1,1,14,79
1.0,"[2016-09-20 07:20:00,2016-09-20 07:40:00)",0.0,30.0,2016-09-20 07:20:00,2016-09-20,07:20:00,2,0,1,0,0,0,0,0,0,9,20,7,20,22,2371,150,50,63,2,21,0,3,1,0,0,0,0,0,4,0,1,4,0,6,2,0,0,0,0,0,6,2,1,8,30
1.0,"[2016-09-20 07:20:00,2016-09-20 07:40:00)",1.0,126.0,2016-09-20 07:20:00,2016-09-20,07:20:00,2,0,1,0,0,0,0,0,0,9,20,7,20,22,2371,150,50,63,2,21,0,25,7,2,0,2,0,1,36,1,1,37,0,18,4,0,0,2,0,0,23,1,1,24,126
