tollgate_id,time_window,direction,volume,start_time,date,time,day_of_week,week_day_1,week_day_2,week_day_3,week_day_4,week_day_5,week_day_6,week_day_7,is_weekend,month,day,hour,minute,time_win_label,lengthSum,widthSum,lanesSum,laneWidthSum,intersectionNum,linkNum
3,"[2016-09-19 00:40:00,2016-09-19 01:00:00)",1,93,2016-09-19 00:40:00,2016-09-19,00:40:00,1,1,0,0,0,0,0,0,0,9,19,0,40,2,2535,162,54,63,3,21
1,"[2016-09-19 01:00:00,2016-09-19 01:20:00)",0,10,2016-09-19 01:00:00,2016-09-19,01:00:00,1,1,0,0,0,0,0,0,0,9,19,1,0,3,2371,150,50,63,2,21
1,"[2016-09-19 01:00:00,2016-09-19 01:20:00)",1,4,2016-09-19 01:00:00,2016-09-19,01:00:00,1,1,0,0,0,0,0,0,0,9,19,1,0,3,2371,150,50,63,2,21
2,"[2016-09-19 01:00:00,2016-09-19 01:20:00)",0,1,2016-09-19 01:00:00,2016-09-19,01:00:00,1,1,0,0,0,0,0,0,0,9,19,1,0,3,384,42,14,18,1,6
3,"[2016-09-19 01:00:00,2016-09-19 01:20:00)",0,17,2016-09-19 01:00:00,2016-09-19,01:00:00,1,1,0,0,0,0,0,0,0,9,19,1,0,3,2535,162,54,63,3,21
3,"[2016-09-19 01:00:00,2016-09-19 01:20:00)",1,4,2016-09-19 01:00:00,2016-09-19,01:00:00,1,1,0,0,0,0,0,0,0,9,19,1,0,3,2535,162,54,63,3,21
3,"[2016-09-19 01:20:00,2016-09-19 01:40:00)",0,17,2016-09-19 01:20:00,2016-09-19,01:20:00,1,1,0,0,0,0,0,0,0,9,19,1,20,4,2535,162,54,63,3,21
3,"[2016-09-19 01:20:00,2016-09-19 01:40:00)",1,5,2016-09-19 01:20:00,2016-09-19,01:20:00,1,1,0,0,0,0,0,0,0,9,19,1,20,4,2535,162,54,63,3,21
1,"[2016-09-19 01:20:00,2016-09-19 01:40:00)",0,14,2016-09-19 01:20:00,2016-09-19,01:20:00,1,1,0,0,0,0,0,0,0,9,19,1,20,4,2371,150,50,63,2,21
1,"[2016-09-19 01:20:00,2016-09-19 01:40:00)",1,14,2016-09-19 01:20:00,2016-09-19,01:20:00,1,1,0,0,0,0,0,0,0,9,19,1,20,4,2371,150,50,63,2,21
3,"[2016-09-19 01:40:00,2016-09-19 02:00:00)",0,11,2016-09-19 01:40:00,2016-09-19,01:40:00,1,1,0,0,0,0,0,0,0,9,19,1,40,5,2535,162,54,63,3,21
3,"[2016-09-19 01:40:00,2016-09-19 02:00:00)",1,4,2016-09-19 01:40:00,2016-09-19,01:40:00,1,1,0,0,0,0,0,0,0,9,19,1,40,5,2535,162,54,63,3,21
1,"[2016-09-19 01:40:00,2016-09-19 02:00:00)",0,10,2016-09-19 01:40:00,2016-09-19,01:40:00,1,1,0,0,0,0,0,0,0,9,19,1,40,5,2371,150,50,63,2,21
1,"[2016-09-19 01:40:00,2016-09-19 02:00:00)",1,7,2016-09-19 01:40:00,2016-09-19,01:40:00,1,1,0,0,0,0,0,0,0,9,19,1,40,5,2371,150,50,63,2,21
2,"[2016-09-19 01:40:00,2016-09-19 02:00:00)",0,2,2016-09-19 01:40:00,2016-09-19,01:40:00,1,1,0,0,0,0,0,0,0,9,19,1,40,5,384,42,14,18,1,6
3,"[2016-09-19 02:00:00,2016-09-19 02:20:00)",0,11,2016-09-19 02:00:00,2016-09-19,02:00:00,1,1,0,0,0,0,0,0,0,9,19,2,0,6,2535,162,54,63,3,21
3,"[2016-09-19 02:00:00,2016-09-19 02:20:00)",1,5,2016-09-19 02:00:00,2016-09-19,02:00:00,1,1,0,0,0,0,0,0,0,9,19,2,0,6,2535,162,54,63,3,21
1,"[2016-09-19 02:00:00,2016-09-19 02:20:00)",0,7,2016-09-19 02:00:00,2016-09-19,02:00:00,1,1,0,0,0,0,0,0,0,9,19,2,0,6,2371,150,50,63,2,21
1,"[2016-09-19 02:00:00,2016-09-19 02:20:00)",1,7,2016-09-19 02:00:00,2016-09-19,02:00:00,1,1,0,0,0,0,0,0,0,9,19,2,0,6,2371,150,50,63,2,21
3,"[2016-09-19 02:20:00,2016-09-19 02:40:00)",0,14,2016-09-19 02:20:00,2016-09-19,02:20:00,1,1,0,0,0,0,0,0,0,9,19,2,20,7,2535,162,54,63,3,21
3,"[2016-09-19 02:20:00,2016-09-19 02:40:00)",1,4,2016-09-19 02:20:00,2016-09-19,02:20:00,1,1,0,0,0,0,0,0,0,9,19,2,20,7,2535,162,54,63,3,21
1,"[2016-09-19 02:20:00,2016-09-19 02:40:00)",0,10,2016-09-19 02:20:00,2016-09-19,02:20:00,1,1,0,0,0,0,0,0,0,9,19,2,20,7,2371,150,50,63,2,21
1,"[2016-09-19 02:20:00,2016-09-19 02:40:00)",1,7,2016-09-19 02:20:00,2016-09-19,02:20:00,1,1,0,0,0,0,0,0,0,9,19,2,20,7,2371,150,50,63,2,21
3,"[2016-09-19 02:40:00,2016-09-19 03:00:00)",0,18,2016-09-19 02:40:00,2016-09-19,02:40:00,1,1,0,0,0,0,0,0,0,9,19,2,40,8,2535,162,54,63,3,21
1,"[2016-09-19 02:40:00,2016-09-19 03:00:00)",0,6,2016-09-19 02:40:00,2016-09-19,02:40:00,1,1,0,0,0,0,0,0,0,9,19,2,40,8,2371,150,50,63,2,21
1,"[2016-09-19 02:40:00,2016-09-19 03:00:00)",1,10,2016-09-19 02:40:00,2016-09-19,02:40:00,1,1,0,0,0,0,0,0,0,9,19,2,40,8,2371,150,50,63,2,21
1,"[2016-09-19 03:00:00,2016-09-19 03:20:00)",0,9,2016-09-19 03:00:00,2016-09-19,03:00:00,1,1,0,0,0,0,0,0,0,9,19,3,0,9,2371,150,50,63,2,21
1,"[2016-09-19 03:00:00,2016-09-19 03:20:00)",1,10,2016-09-19 03:00:00,2016-09-19,03:00:00,1,1,0,0,0,0,0,0,0,9,19,3,0,9,2371,150,50,63,2,21
3,"[2016-09-19 03:00:00,2016-09-19 03:20:00)",0,10,2016-09-19 03:00:00,2016-09-19,03:00:00,1,1,0,0,0,0,0,0,0,9,19,3,0,9,2535,162,54,63,3,21
3,"[2016-09-19 03:00:00,2016-09-19 03:20:00)",1,5,2016-09-19 03:00:00,2016-09-19,03:00:00,1,1,0,0,0,0,0,0,0,9,19,3,0,9,2535,162,54,63,3,21
3,"[2016-09-19 03:20:00,2016-09-19 03:40:00)",0,10,2016-09-19 03:20:00,2016-09-19,03:20:00,1,1,0,0,0,0,0,0,0,9,19,3,20,10,2535,162,54,63,3,21
3,"[2016-09-19 03:20:00,2016-09-19 03:40:00)",1,3,2016-09-19 03:20:00,2016-09-19,03:20:00,1,1,0,0,0,0,0,0,0,9,19,3,20,10,2535,162,54,63,3,21
1,"[2016-09-19 03:20:00,2016-09-19 03:40:00)",0,4,2016-09-19 03:20:00,2016-09-19,03:20:00,1,1,0,0,0,0,0,0,0,9,19,3,20,10,2371,150,50,63,2,21
1,"[2016-09-19 03:20:00,2016-09-19 03:40:00)",1,14,2016-09-19 03:20:00,2016-09-19,03:20:00,1,1,0,0,0,0,0,0,0,9,19,3,20,10,2371,150,50,63,2,21
1,"[2016-09-19 03:40:00,2016-09-19 04:00:00)",0,9,2016-09-19 03:40:00,2016-09-19,03:40:00,1,1,0,0,0,0,0,0,0,9,19,3,40,11,2371,150,50,63,2,21
1,"[2016-09-19 03:40:00,2016-09-19 04:00:00)",1,20,2016-09-19 03:40:00,2016-09-19,03:40:00,1,1,0,0,0,0,0,0,0,9,19,3,40,11,2371,150,50,63,2,21
3,"[2016-09-19 03:40:00,2016-09-19 04:00:00)",0,9,2016-09-19 03:40:00,2016-09-19,03:40:00,1,1,0,0,0,0,0,0,0,9,19,3,40,11,2535,162,54,63,3,21
3,"[2016-09-19 03:40:00,2016-09-19 04:00:00)",1,10,2016-09-19 03:40:00,2016-09-19,03:40:00,1,1,0,0,0,0,0,0,0,9,19,3,40,11,2535,162,54,63,3,21
3,"[2016-09-19 04:00:00,2016-09-19 04:20:00)",0,11,2016-09-19 04:00:00,2016-09-19,04:00:00,1,1,0,0,0,0,0,0,0,9,19,4,0,12,2535,162,54,63,3,21
3,"[2016-09-19 04:00:00,2016-09-19 04:20:00)",1,4,2016-09-19 04:00:00,2016-09-19,04:00:00,1,1,0,0,0,0,0,0,0,9,19,4,0,12,2535,162,54,63,3,21
1,"[2016-09-19 04:00:00,2016-09-19 04:20:00)",0,10,2016-09-19 04:00:00,2016-09-19,04:00:00,1,1,0,0,0,0,0,0,0,9,19,4,0,12,2371,150,50,63,2,21
1,"[2016-09-19 04:00:00,2016-09-19 04:20:00)",1,18,2016-09-19 04:00:00,2016-09-19,04:00:00,1,1,0,0,0,0,0,0,0,9,19,4,0,12,2371,150,50,63,2,21
1,"[2016-09-19 04:20:00,2016-09-19 04:40:00)",0,13,2016-09-19 04:20:00,2016-09-19,04:20:00,1,1,0,0,0,0,0,0,0,9,19,4,20,13,2371,150,50,63,2,21
1,"[2016-09-19 04:20:00,2016-09-19 04:40:00)",1,17,2016-09-19 04:20:00,2016-09-19,04:20:00,1,1,0,0,0,0,0,0,0,9,19,4,20,13,2371,150,50,63,2,21
3,"[2016-09-19 04:20:00,2016-09-19 04:40:00)",0,8,2016-09-19 04:20:00,2016-09-19,04:20:00,1,1,0,0,0,0,0,0,0,9,19,4,20,13,2535,162,54,63,3,21
3,"[2016-09-19 04:20:00,2016-09-19 04:40:00)",1,7,2016-09-19 04:20:00,2016-09-19,04:20:00,1,1,0,0,0,0,0,0,0,9,19,4,20,13,2535,162,54,63,3,21
3,"[2016-09-19 04:40:00,2016-09-19 05:00:00)",0,10,2016-09-19 04:40:00,2016-09-19,04:40:00,1,1,0,0,0,0,0,0,0,9,19,4,40,14,2535,162,54,63,3,21
3,"[2016-09-19 04:40:00,2016-09-19 05:00:00)",1,3,2016-09-19 04:40:00,2016-09-19,04:40:00,1,1,0,0,0,0,0,0,0,9,19,4,40,14,2535,162,54,63,3,21
1,"[2016-09-19 04:40:00,2016-09-19 05:00:00)",0,12,2016-09-19 04:40:00,2016-09-19,04:40:00,1,1,0,0,0,0,0,0,0,9,19,4,40,14,2371,150,50,63,2,21
1,"[2016-09-19 04:40:00,2016-09-19 05:00:00)",1,23,2016-09-19 04:40:00,2016-09-19,04:40:00,1,1,0,0,0,0,0,0,0,9,19,4,40,14,2371,150,50,63,2,21
1,"[2016-09-19 05:00:00,2016-09-19 05:20:00)",0,2,2016-09-19 05:00:00,2016-09-19,05:00:00,1,1,0,0,0,0,0,0,0,9,19,5,0,15,2371,150,50,63,2,21
1,"[2016-09-19 05:00:00,2016-09-19 05:20:00)",1,28,2016-09-19 05:00:00,2016-09-19,05:00:00,1,1,0,0,0,0,0,0,0,9,19,5,0,15,2371,150,50,63,2,21
2,"[2016-09-19 05:00:00,2016-09-19 05:20:00)",0,14,2016-09-19 05:00:00,2016-09-19,05:00:00,1,1,0,0,0,0,0,0,0,9,19,5,0,15,384,42,14,18,1,6
3,"[2016-09-19 05:00:00,2016-09-19 05:20:00)",0,9,2016-09-19 05:00:00,2016-09-19,05:00:00,1,1,0,0,0,0,0,0,0,9,19,5,0,15,2535,162,54,63,3,21
3,"[2016-09-19 05:00:00,2016-09-19 05:20:00)",1,11,2016-09-19 05:00:00,2016-09-19,05:00:00,1,1,0,0,0,0,0,0,0,9,19,5,0,15,2535,162,54,63,3,21
2,"[2016-09-19 05:20:00,2016-09-19 05:40:00)",0,12,2016-09-19 05:20:00,2016-09-19,05:20:00,1,1,0,0,0,0,0,0,0,9,19,5,20,16,384,42,14,18,1,6
1,"[2016-09-19 05:20:00,2016-09-19 05:40:00)",0,8,2016-09-19 05:20:00,2016-09-19,05:20:00,1,1,0,0,0,0,0,0,0,9,19,5,20,16,2371,150,50,63,2,21
1,"[2016-09-19 05:20:00,2016-09-19 05:40:00)",1,24,2016-09-19 05:20:00,2016-09-19,05:20:00,1,1,0,0,0,0,0,0,0,9,19,5,20,16,2371,150,50,63,2,21
3,"[2016-09-19 05:20:00,2016-09-19 05:40:00)",0,14,2016-09-19 05:20:00,2016-09-19,05:20:00,1,1,0,0,0,0,0,0,0,9,19,5,20,16,2535,162,54,63,3,21
3,"[2016-09-19 05:20:00,2016-09-19 05:40:00)",1,7,2016-09-19 05:20:00,2016-09-19,05:20:00,1,1,0,0,0,0,0,0,0,9,19,5,20,16,2535,162,54,63,3,21
1,"[2016-09-19 05:40:00,2016-09-19 06:00:00)",0,13,2016-09-19 05:40:00,2016-09-19,05:40:00,1,1,0,0,0,0,0,0,0,9,19,5,40,17,2371,150,50,63,2,21
1,"[2016-09-19 05:40:00,2016-09-19 06:00:00)",1,34,2016-09-19 05:40:00,2016-09-19,05:40:00,1,1,0,0,0,0,0,0,0,9,19,5,40,17,2371,150,50,63,2,21
2,"[2016-09-19 05:40:00,2016-09-19 06:00:00)",0,21,2016-09-19 05:40:00,2016-09-19,05:40:00,1,1,0,0,0,0,0,0,0,9,19,5,40,17,384,42,14,18,1,6
3,"[2016-09-19 05:40:00,2016-09-19 06:00:00)",0,27,2016-09-19 05:40:00,2016-09-19,05:40:00,1,1,0,0,0,0,0,0,0,9,19,5,40,17,2535,162,54,63,3,21
3,"[2016-09-19 05:40:00,2016-09-19 06:00:00)",1,13,2016-09-19 05:40:00,2016-09-19,05:40:00,1,1,0,0,0,0,0,0,0,9,19,5,40,17,2535,162,54,63,3,21
1,"[2016-09-19 06:00:00,2016-09-19 06:20:00)",0,8,2016-09-19 06:00:00,2016-09-19,06:00:00,1,1,0,0,0,0,0,0,0,9,19,6,0,18,2371,150,50,63,2,21
1,"[2016-09-19 06:00:00,2016-09-19 06:20:00)",1,39,2016-09-19 06:00:00,2016-09-19,06:00:00,1,1,0,0,0,0,0,0,0,9,19,6,0,18,2371,150,50,63,2,21
2,"[2016-09-19 06:00:00,2016-09-19 06:20:00)",0,30,2016-09-19 06:00:00,2016-09-19,06:00:00,1,1,0,0,0,0,0,0,0,9,19,6,0,18,384,42,14,18,1,6
3,"[2016-09-19 06:00:00,2016-09-19 06:20:00)",0,39,2016-09-19 06:00:00,2016-09-19,06:00:00,1,1,0,0,0,0,0,0,0,9,19,6,0,18,2535,162,54,63,3,21
3,"[2016-09-19 06:00:00,2016-09-19 06:20:00)",1,30,2016-09-19 06:00:00,2016-09-19,06:00:00,1,1,0,0,0,0,0,0,0,9,19,6,0,18,2535,162,54,63,3,21
1,"[2016-09-19 06:20:00,2016-09-19 06:40:00)",0,13,2016-09-19 06:20:00,2016-09-19,06:20:00,1,1,0,0,0,0,0,0,0,9,19,6,20,19,2371,150,50,63,2,21
1,"[2016-09-19 06:20:00,2016-09-19 06:40:00)",1,57,2016-09-19 06:20:00,2016-09-19,06:20:00,1,1,0,0,0,0,0,0,0,9,19,6,20,19,2371,150,50,63,2,21
2,"[2016-09-19 06:20:00,2016-09-19 06:40:00)",0,36,2016-09-19 06:20:00,2016-09-19,06:20:00,1,1,0,0,0,0,0,0,0,9,19,6,20,19,384,42,14,18,1,6
3,"[2016-09-19 06:20:00,2016-09-19 06:40:00)",0,58,2016-09-19 06:20:00,2016-09-19,06:20:00,1,1,0,0,0,0,0,0,0,9,19,6,20,19,2535,162,54,63,3,21
3,"[2016-09-19 06:20:00,2016-09-19 06:40:00)",1,38,2016-09-19 06:20:00,2016-09-19,06:20:00,1,1,0,0,0,0,0,0,0,9,19,6,20,19,2535,162,54,63,3,21
3,"[2016-09-19 06:40:00,2016-09-19 07:00:00)",0,71,2016-09-19 06:40:00,2016-09-19,06:40:00,1,1,0,0,0,0,0,0,0,9,19,6,40,20,2535,162,54,63,3,21
3,"[2016-09-19 06:40:00,2016-09-19 07:00:00)",1,65,2016-09-19 06:40:00,2016-09-19,06:40:00,1,1,0,0,0,0,0,0,0,9,19,6,40,20,2535,162,54,63,3,21
2,"[2016-09-19 06:40:00,2016-09-19 07:00:00)",0,37,2016-09-19 06:40:00,2016-09-19,06:40:00,1,1,0,0,0,0,0,0,0,9,19,6,40,20,384,42,14,18,1,6
1,"[2016-09-19 06:40:00,2016-09-19 07:00:00)",0,32,2016-09-19 06:40:00,2016-09-19,06:40:00,1,1,0,0,0,0,0,0,0,9,19,6,40,20,2371,150,50,63,2,21
1,"[2016-09-19 06:40:00,2016-09-19 07:00:00)",1,72,2016-09-19 06:40:00,2016-09-19,06:40:00,1,1,0,0,0,0,0,0,0,9,19,6,40,20,2371,150,50,63,2,21
3,"[2016-09-19 07:00:00,2016-09-19 07:20:00)",0,127,2016-09-19 07:00:00,2016-09-19,07:00:00,1,1,0,0,0,0,0,0,0,9,19,7,0,21,2535,162,54,63,3,21
3,"[2016-09-19 07:00:00,2016-09-19 07:20:00)",1,67,2016-09-19 07:00:00,2016-09-19,07:00:00,1,1,0,0,0,0,0,0,0,9,19,7,0,21,2535,162,54,63,3,21
2,"[2016-09-19 07:00:00,2016-09-19 07:20:00)",0,84,2016-09-19 07:00:00,2016-09-19,07:00:00,1,1,0,0,0,0,0,0,0,9,19,7,0,21,384,42,14,18,1,6
1,"[2016-09-19 07:00:00,2016-09-19 07:20:00)",0,39,2016-09-19 07:00:00,2016-09-19,07:00:00,1,1,0,0,0,0,0,0,0,9,19,7,0,21,2371,150,50,63,2,21
1,"[2016-09-19 07:00:00,2016-09-19 07:20:00)",1,70,2016-09-19 07:00:00,2016-09-19,07:00:00,1,1,0,0,0,0,0,0,0,9,19,7,0,21,2371,150,50,63,2,21
1,"[2016-09-19 07:20:00,2016-09-19 07:40:00)",0,31,2016-09-19 07:20:00,2016-09-19,07:20:00,1,1,0,0,0,0,0,0,0,9,19,7,20,22,2371,150,50,63,2,21
1,"[2016-09-19 07:20:00,2016-09-19 07:40:00)",1,83,2016-09-19 07:20:00,2016-09-19,07:20:00,1,1,0,0,0,0,0,0,0,9,19,7,20,22,2371,150,50,63,2,21
3,"[2016-09-19 07:20:00,2016-09-19 07:40:00)",0,123,2016-09-19 07:20:00,2016-09-19,07:20:00,1,1,0,0,0,0,0,0,0,9,19,7,20,22,2535,162,54,63,3,21
3,"[2016-09-19 07:20:00,2016-09-19 07:40:00)",1,71,2016-09-19 07:20:00,2016-09-19,07:20:00,1,1,0,0,0,0,0,0,0,9,19,7,20,22,2535,162,54,63,3,21
2,"[2016-09-19 07:20:00,2016-09-19 07:40:00)",0,80,2016-09-19 07:20:00,2016-09-19,07:20:00,1,1,0,0,0,0,0,0,0,9,19,7,20,22,384,42,14,18,1,6
1,"[2016-09-19 07:40:00,2016-09-19 08:00:00)",0,43,2016-09-19 07:40:00,2016-09-19,07:40:00,1,1,0,0,0,0,0,0,0,9,19,7,40,23,2371,150,50,63,2,21
1,"[2016-09-19 07:40:00,2016-09-19 08:00:00)",1,118,2016-09-19 07:40:00,2016-09-19,07:40:00,1,1,0,0,0,0,0,0,0,9,19,7,40,23,2371,150,50,63,2,21
3,"[2016-09-19 07:40:00,2016-09-19 08:00:00)",0,153,2016-09-19 07:40:00,2016-09-19,07:40:00,1,1,0,0,0,0,0,0,0,9,19,7,40,23,2535,162,54,63,3,21
3,"[2016-09-19 07:40:00,2016-09-19 08:00:00)",1,103,2016-09-19 07:40:00,2016-09-19,07:40:00,1,1,0,0,0,0,0,0,0,9,19,7,40,23,2535,162,54,63,3,21
2,"[2016-09-19 07:40:00,2016-09-19 08:00:00)",0,97,2016-09-19 07:40:00,2016-09-19,07:40:00,1,1,0,0,0,0,0,0,0,9,19,7,40,23,384,42,14,18,1,6
1,"[2016-09-19 08:00:00,2016-09-19 08:20:00)",0,46,2016-09-19 08:00:00,2016-09-19,08:00:00,1,1,0,0,0,0,0,0,0,9,19,8,0,24,2371,150,50,63,2,21
1,"[2016-09-19 08:00:00,2016-09-19 08:20:00)",1,123,2016-09-19 08:00:00,2016-09-19,08:00:00,1,1,0,0,0,0,0,0,0,9,19,8,0,24,2371,150,50,63,2,21
3,"[2016-09-19 08:00:00,2016-09-19 08:20:00)",0,161,2016-09-19 08:00:00,2016-09-19,08:00:00,1,1,0,0,0,0,0,0,0,9,19,8,0,24,2535,162,54,63,3,21
3,"[2016-09-19 08:00:00,2016-09-19 08:20:00)",1,118,2016-09-19 08:00:00,2016-09-19,08:00:00,1,1,0,0,0,0,0,0,0,9,19,8,0,24,2535,162,54,63,3,21
2,"[2016-09-19 08:00:00,2016-09-19 08:20:00)",0,129,2016-09-19 08:00:00,2016-09-19,08:00:00,1,1,0,0,0,0,0,0,0,9,19,8,0,24,384,42,14,18,1,6
3,"[2016-09-19 08:20:00,2016-09-19 08:40:00)",0,167,2016-09-19 08:20:00,2016-09-19,08:20:00,1,1,0,0,0,0,0,0,0,9,19,8,20,25,2535,162,54,63,3,21
3,"[2016-09-19 08:20:00,2016-09-19 08:40:00)",1,168,2016-09-19 08:20:00,2016-09-19,08:20:00,1,1,0,0,0,0,0,0,0,9,19,8,20,25,2535,162,54,63,3,21
1,"[2016-09-19 08:20:00,2016-09-19 08:40:00)",0,56,2016-09-19 08:20:00,2016-09-19,08:20:00,1,1,0,0,0,0,0,0,0,9,19,8,20,25,2371,150,50,63,2,21
1,"[2016-09-19 08:20:00,2016-09-19 08:40:00)",1,119,2016-09-19 08:20:00,2016-09-19,08:20:00,1,1,0,0,0,0,0,0,0,9,19,8,20,25,2371,150,50,63,2,21
2,"[2016-09-19 08:20:00,2016-09-19 08:40:00)",0,122,2016-09-19 08:20:00,2016-09-19,08:20:00,1,1,0,0,0,0,0,0,0,9,19,8,20,25,384,42,14,18,1,6
1,"[2016-09-19 08:40:00,2016-09-19 09:00:00)",0,41,2016-09-19 08:40:00,2016-09-19,08:40:00,1,1,0,0,0,0,0,0,0,9,19,8,40,26,2371,150,50,63,2,21
1,"[2016-09-19 08:40:00,2016-09-19 09:00:00)",1,116,2016-09-19 08:40:00,2016-09-19,08:40:00,1,1,0,0,0,0,0,0,0,9,19,8,40,26,2371,150,50,63,2,21
2,"[2016-09-19 08:40:00,2016-09-19 09:00:00)",0,98,2016-09-19 08:40:00,2016-09-19,08:40:00,1,1,0,0,0,0,0,0,0,9,19,8,40,26,384,42,14,18,1,6
3,"[2016-09-19 08:40:00,2016-09-19 09:00:00)",0,138,2016-09-19 08:40:00,2016-09-19,08:40:00,1,1,0,0,0,0,0,0,0,9,19,8,40,26,2535,162,54,63,3,21
3,"[2016-09-19 08:40:00,2016-09-19 09:00:00)",1,161,2016-09-19 08:40:00,2016-09-19,08:40:00,1,1,0,0,0,0,0,0,0,9,19,8,40,26,2535,162,54,63,3,21
1,"[2016-09-19 09:00:00,2016-09-19 09:20:00)",0,50,2016-09-19 09:00:00,2016-09-19,09:00:00,1,1,0,0,0,0,0,0,0,9,19,9,0,27,2371,150,50,63,2,21
1,"[2016-09-19 09:00:00,2016-09-19 09:20:00)",1,120,2016-09-19 09:00:00,2016-09-19,09:00:00,1,1,0,0,0,0,0,0,0,9,19,9,0,27,2371,150,50,63,2,21
2,"[2016-09-19 09:00:00,2016-09-19 09:20:00)",0,89,2016-09-19 09:00:00,2016-09-19,09:00:00,1,1,0,0,0,0,0,0,0,9,19,9,0,27,384,42,14,18,1,6
3,"[2016-09-19 09:00:00,2016-09-19 09:20:00)",0,174,2016-09-19 09:00:00,2016-09-19,09:00:00,1,1,0,0,0,0,0,0,0,9,19,9,0,27,2535,162,54,63,3,21
3,"[2016-09-19 09:00:00,2016-09-19 09:20:00)",1,145,2016-09-19 09:00:00,2016-09-19,09:00:00,1,1,0,0,0,0,0,0,0,9,19,9,0,27,2535,162,54,63,3,21
1,"[2016-09-19 09:20:00,2016-09-19 09:40:00)",0,49,2016-09-19 09:20:00,2016-09-19,09:20:00,1,1,0,0,0,0,0,0,0,9,19,9,20,28,2371,150,50,63,2,21
1,"[2016-09-19 09:20:00,2016-09-19 09:40:00)",1,151,2016-09-19 09:20:00,2016-09-19,09:20:00,1,1,0,0,0,0,0,0,0,9,19,9,20,28,2371,150,50,63,2,21
2,"[2016-09-19 09:20:00,2016-09-19 09:40:00)",0,78,2016-09-19 09:20:00,2016-09-19,09:20:00,1,1,0,0,0,0,0,0,0,9,19,9,20,28,384,42,14,18,1,6
3,"[2016-09-19 09:20:00,2016-09-19 09:40:00)",0,144,2016-09-19 09:20:00,2016-09-19,09:20:00,1,1,0,0,0,0,0,0,0,9,19,9,20,28,2535,162,54,63,3,21
3,"[2016-09-19 09:20:00,2016-09-19 09:40:00)",1,125,2016-09-19 09:20:00,2016-09-19,09:20:00,1,1,0,0,0,0,0,0,0,9,19,9,20,28,2535,162,54,63,3,21
3,"[2016-09-19 09:40:00,2016-09-19 10:00:00)",0,148,2016-09-19 09:40:00,2016-09-19,09:40:00,1,1,0,0,0,0,0,0,0,9,19,9,40,29,2535,162,54,63,3,21
3,"[2016-09-19 09:40:00,2016-09-19 10:00:00)",1,116,2016-09-19 09:40:00,2016-09-19,09:40:00,1,1,0,0,0,0,0,0,0,9,19,9,40,29,2535,162,54,63,3,21
