date,time,pressure,sea_pressure,wind_direction,wind_speed,temperature,rel_humidity,precipitation
'2016-07-01','22:00:00',1001.51026154,1006.30956563,275.605090128,2.9059149781,25.7401505006,89.0709900117,0.0,
'2016-07-01','22:20:00',1002.15509772,1006.95398115,235.61745507,3.28390275501,25.9203660413,88.255377618,0.0,
'2016-07-01','22:40:00',1002.66081034,1007.45934328,200.315362249,3.55676398649,26.1310572517,87.1560735832,0.0,
'2016-07-01','23:00:00',1002.8788069,1007.67722468,185.262533292,3.56714866165,26.3601567595,85.7467574842,0.0,
'2016-07-01','23:20:00',1002.6109594,1007.40974691,213.055046537,3.08703513672,26.5907230606,84.020263072,0.0,
'2016-07-01','23:40:00',1001.59999999,1006.40000002,315.000000008,1.80000000008,26.8000000009,82.0000000012,0.0,
'2016-07-02','00:00:00',1001.6,1006.4,315.0,1.8,26.8,82.0,0.0,
'2016-07-02','00:20:00',1001.6,1006.4,315.0,1.8,26.8,82.0,0.0,
'2016-07-02','00:40:00',1000.96544844,1005.7098422,719.486802877,4.4107809966,26.1374396395,88.327640005,0,
'2016-07-02','01:00:00',1000.92490428,1005.64547711,829.126750231,5.52315807606,26.2802436868,88.7310529391,0,
'2016-07-02','01:20:00',1001.19542486,1005.91399588,759.566980617,5.67861735383,26.8910505745,85.7973045136,0,
'2016-07-02','01:40:00',1001.5806446,1006.31129487,595.846050788,5.27914949709,27.7195101865,81.392689853,0,
'2016-07-02','02:00:00',1001.95283657,1006.70376988,398.114783469,4.61318255392,28.5867749096,76.8019008313,0,
'2016-07-02','02:20:00',1002.23746274,1007.01254212,206.618399441,3.87815442372,29.371899372,72.8487520087,0,
'2016-07-02','02:40:00',1002.4,1007.2,46.0,3.2,30.0,70.0,2.13162820728e-14,
'2016-07-02','03:00:00',1002.4,1007.2,46.0,3.2,30.0,70.0,0.0,
'2016-07-02','03:20:00',1002.4,1007.2,46.0,3.2,30.0,70.0,2.13162820728e-14,
'2016-07-02','03:40:00',1002.43483817,1007.25844965,-71.016878516,2.64981720965,30.4320311441,68.4537298735,1.65116717819,
'2016-07-02','04:00:00',1002.35605439,1007.20067564,-140.511260864,2.25796536602,30.6560401453,68.2137209445,3.00112044631,
'2016-07-02','04:20:00',1002.18987711,1007.05222204,-164.76024681,2.02583844611,30.6797693351,69.1511430936,4.01420708191,
'2016-07-02','04:40:00',1001.96866139,1006.84521297,-150.096354336,1.93554509514,30.5244785801,71.0548735086,4.69386879963,
'2016-07-02','05:00:00',1001.72620583,1006.61354004,-105.178348072,1.95771635482,30.2198676044,73.6716625109,5.06976947253,
'2016-07-02','05:20:00',1001.49425002,1006.3892532,-39.629553264,2.05765130488,29.7999829433,76.7373158984,5.18741786577,
'2016-07-02','05:40:00',1001.3,1006.2,37.0,2.2,29.3,80.0,5.1,
'2016-07-02','06:00:00',1001.3,1006.2,37.0,2.2,29.3,80.0,5.1,
'2016-07-02','06:20:00',1001.3,1006.2,37.0,2.2,29.3,80.0,5.1,
'2016-07-02','06:40:00',1001.16453781,1006.06736701,115.988913184,2.35217227793,28.7537763006,83.2367144033,4.8621508791,
'2016-07-02','07:00:00',1001.10197981,1006.00598593,189.9562028,2.48665020701,28.1920776599,86.2639160856,4.52541043481,
'2016-07-02','07:20:00',1001.11925698,1006.02327551,253.166153078,2.58237113475,27.641384593,88.9432174428,4.13512365822,
'2016-07-02','07:40:00',1001.21639905,1006.1196992,301.660515502,2.62533749214,27.1231919268,91.1830194758,3.7285600058,
'2016-07-02','08:00:00',1001.3872129,1006.2894272,333.249988483,2.60859870098,26.6537201866,92.9368801654,3.33404228524,
'2016-07-02','08:20:00',1001.62025422,1006.52130006,347.394566042,2.53173972527,26.2439629523,94.1993568258,2.97089034383,
'2016-07-02','08:40:00',1001.9,1006.8,345.0,2.4,25.9,95.0,2.65,
'2016-07-02','09:00:00',1001.9,1006.8,345.0,2.4,25.9,95.0,2.65,
'2016-07-02','09:20:00',1001.9,1006.8,345.0,2.4,25.9,95.0,2.65,
'2016-07-02','09:40:00',1002.20813812,1007.10734456,328.155275735,2.22313566418,25.6235116653,95.3961152221,2.374892776,
'2016-07-02','10:00:00',1002.52489866,1007.42362613,299.833657199,2.01412721792,25.4124354832,95.4648477397,2.14308710743,
'2016-07-02','10:20:00',1002.83036045,1007.72892935,263.577512464,1.78782391621,25.261711782,95.2950840553,1.94765682285,
'2016-07-02','10:40:00',1003.10567467,1008.00436741,223.184786678,1.55960540529,25.1640705278,94.9796029138,1.77885780446,
'2016-07-02','11:00:00',1003.3341561,1008.23318659,182.412644921,1.34413030042,25.1108173354,94.6078471251,1.62571885829,
'2016-07-02','11:20:00',1003.50220109,1008.40169753,144.711463017,1.15423059703,25.0925821848,94.2596263824,1.47750794,
'2016-07-02','11:40:00',1003.6,1008.5,113.0,1.0,25.1,94.0,1.325,
'2016-07-02','12:00:00',1003.6,1008.5,113.0,1.0,25.1,94.0,1.325,
'2016-07-02','12:20:00',1003.6,1008.5,113.0,1.0,25.1,94.0,1.325,
'2016-07-02','12:40:00',1003.62202037,1008.52247701,89.4902415038,0.888113449193,25.1242978676,93.8755272608,1.16148782933,
'2016-07-02','13:00:00',1003.56724564,1008.46804257,75.5680589588,0.821404312138,25.1577692943,93.9120118309,0.98349240503,
'2016-07-02','13:20:00',1003.43916301,1008.34013615,71.7334850632,0.798714907943,25.1941215218,94.1138054648,0.791144351733,
'2016-07-02','13:40:00',1003.24550236,1008.14646577,77.6020616194,0.815025219435,25.2286875372,94.4646749918,0.588223253502,
'2016-07-02','14:00:00',1002.99773692,1007.89851013,91.9663714071,0.861853843702,25.2585000394,94.9301753373,0.381856667737,
'2016-07-02','14:20:00',1002.71036492,1007.61079902,112.91452137,0.927914424112,25.2822302403,95.461410104,0.181895810457,
'2016-07-02','14:40:00',1002.4,1007.29999999,137.999999999,1.00000000001,25.3,96.0000000001,3.05533376377e-12,
'2016-07-02','15:00:00',1002.4,1007.3,138.0,1.0,25.3,96.0,0.0,
'2016-07-02','15:20:00',1002.4,1007.29999999,137.999999999,1.00000000001,25.3,96.0000000001,3.05533376377e-12,
'2016-07-02','15:40:00',1002.08430677,1006.98384785,164.454987381,1.06405690327,25.313081418,96.4840181698,0,
'2016-07-02','16:00:00',1001.78082654,1006.67996236,189.436852,1.10639902401,25.3235036189,96.8545902477,0,
'2016-07-02','16:20:00',1001.50574676,1006.40460817,210.295223967,1.11500246063,25.333592095,97.0627957249,0,
'2016-07-02','16:40:00',1001.27267631,1006.17145986,224.844689941,1.08080976257,25.3454715857,97.0764459793,0,
'2016-07-02','17:00:00',1001.09149735,1005.99044332,231.625810647,0.998962167132,25.3605690961,96.8862530927,0,
'2016-07-02','17:20:00',1000.96737321,1005.86673388,230.134817438,0.86986742475,25.3791592757,96.5108423394,0,
'2016-07-02','17:40:00',1000.9,1005.79999999,220.999999997,0.70000000001,25.4,96.0000000001,7.92965693108e-12,
'2016-07-02','18:00:00',1000.9,1005.8,221.0,0.7,25.4,96.0,0.0,
'2016-07-02','18:20:00',1000.9,1005.79999999,220.999999997,0.70000000001,25.4,96.0000000001,7.92965693108e-12,
'2016-07-02','18:40:00',1000.88319866,1005.78398995,206.080452854,0.502319629085,25.4201116173,95.4354869195,0.173480220747,
'2016-07-02','19:00:00',1000.90495237,1005.80656819,188.460503985,0.296183406861,25.4347589424,94.9286869946,0.34278666775,
'2016-07-02','19:20:00',1000.94800307,1005.8503159,172.310804381,0.106615770445,25.4377007017,94.6142985435,0.476438562253,
'2016-07-02','19:40:00',1000.9911294,1005.89381984,162.584713055,-0.0372100615251,25.4217767522,94.6392152753,0.539779759966,
'2016-07-02','20:00:00',1001.01123675,1005.91378179,164.516267574,-0.104436441073,25.3799090178,95.1456823427,0.498573888344,
'2016-07-02','20:20:00',1000.98639902,1005.88808961,182.883685783,-0.0660994889376,25.3065977077,96.2477517315,0.324101074802,
'2016-07-02','20:40:00',1000.9,1005.79999997,220.999999994,0.100000000012,25.2000000001,98.0000000002,1.71098690771e-11,
'2016-07-02','21:00:00',1000.9,1005.8,221.0,0.1,25.2,98.0,0.0,
'2016-07-02','21:20:00',1000.9,1005.79999997,220.999999994,0.100000000012,25.2000000001,98.0000000002,1.71098690771e-11,
'2016-07-02','21:40:00',1000.74613106,1005.6435911,279.390080541,0.402943275947,25.0646839972,100.357410157,0,
'2016-07-02','22:00:00',1000.53641018,1005.43065295,354.110961124,0.830657502332,24.9151563751,103.125258221,0,
'2016-07-02','22:20:00',1000.30839639,1005.19919066,434.670034121,1.33998549128,24.7802677739,105.897783784,0,
'2016-07-02','22:40:00',1000.13578162,1005.02372598,501.493339386,1.84463921654,24.7086055952,107.984362662,0,
'2016-07-02','23:00:00',1000.14055125,1005.0275902,522.893825958,2.20080420817,24.7749894899,108.321838467,0,
'2016-07-02','23:20:00',1000.50731265,1005.39741037,451.487121525,2.19015112579,25.0881904462,105.371608739,0,
'2016-07-02','23:40:00',1001.50000001,1006.39999993,219.999999988,1.50000000002,25.8000000002,97.0000000002,3.33102434524e-11,
'2016-07-03','00:00:00',1001.5,1006.4,220.0,1.5,25.8,97.0,0.0,
'2016-07-03','00:20:00',1001.5,1006.4,220.0,1.5,25.8,97.0,0.0,
'2016-07-03','00:40:00',1002.13842885,1007.03842885,281.031969559,0.950486795394,26.4628433463,98.3525298742,0.203311877424,
'2016-07-03','01:00:00',1002.37001334,1007.27001334,299.817422765,0.759123431023,26.8323398402,98.289778309,0.294289439851,
'2016-07-03','01:20:00',1002.34960543,1007.24960543,292.748233857,0.79318478767,27.0078143151,97.4405383886,0.31019040008,
'2016-07-03','01:40:00',1002.1883697,1007.0883697,271.953519868,0.954276471494,27.0646485753,96.2469906841,0.27985483429,
'2016-07-03','02:00:00',1001.96299419,1006.86299419,246.065130014,1.1718183185,27.0583426978,95.0035071958,0.22500692689,
'2016-07-03','02:20:00',1001.72353177,1006.62353177,220.890533453,1.39740971606,27.0281042807,93.8899574454,0.161426858323,
'2016-07-03','02:40:00',1001.5,1006.4,200.0,1.6,27.0,93.0,0.1,
'2016-07-03','03:00:00',1001.5,1006.4,200.0,1.6,27.0,93.0,0.1,
'2016-07-03','03:20:00',1001.5,1006.4,200.0,1.6,27.0,93.0,0.1,
'2016-07-03','03:40:00',1001.30786186,1006.20786186,185.234726601,1.76179042929,26.9897026429,92.3648225796,0.047650441756,
'2016-07-03','04:00:00',1001.15250393,1006.05250393,177.142320537,1.87479748465,27.0048655874,91.9727737845,0.00816573844316,
'2016-07-03','04:20:00',1001.03282296,1005.93282296,175.345808517,1.9380104807,27.0471554996,91.7853093529,0,
'2016-07-03','04:40:00',1000.94402628,1005.84402628,178.852099021,1.95507972559,27.1139728278,91.7496557371,0,
'2016-07-03','05:00:00',1000.87974542,1005.77974542,186.305583414,1.93247470542,27.1998884685,91.8085736673,0,
'2016-07-03','05:20:00',1000.83355715,1005.73355715,196.192319586,1.87805501501,27.2978237906,91.9075842464,0,
'2016-07-03','05:40:00',1000.8,1005.7,207.0,1.8,27.4,92.0,0,
'2016-07-03','06:00:00',1000.8,1005.7,207.0,1.8,27.4,92.0,0.0,
'2016-07-03','06:20:00',1000.8,1005.7,207.0,1.8,27.4,92.0,0,
'2016-07-03','06:40:00',1000.77516906,1005.67516906,217.338664274,1.70604631948,27.4986816346,92.0500831809,0.0211741245336,
'2016-07-03','07:00:00',1000.7569658,1005.6569658,226.026874574,1.60298588178,27.5867377803,92.0346335087,0.0433911347751,
'2016-07-03','07:20:00',1000.74507431,1005.64507431,232.147830304,1.49637985026,27.6580434037,91.9432873993,0.0641461567487,
'2016-07-03','07:40:00',1000.74072953,1005.64072953,235.079656745,1.39044765936,27.7077419969,91.7777906198,0.0813929619724,
'2016-07-03','08:00:00',1000.74633728,1005.64633728,234.50386051,1.28809322547,27.7323895383,91.5504861808,0.0936291395215,
'2016-07-03','08:20:00',1000.76500047,1005.66500047,230.395702843,1.19103378045,27.7299985699,91.2822391565,0.0999390810343,
'2016-07-03','08:40:00',1000.8,1005.7,223.0,1.1,27.7,91.0,0.0999999999999,
'2016-07-03','09:00:00',1000.8,1005.7,223.0,1.1,27.7,91.0,0.1,
'2016-07-03','09:20:00',1000.8,1005.7,223.0,1.1,27.7,91.0,0.0999999999999,
'2016-07-03','09:40:00',1000.85427321,1005.75427321,212.795618122,1.01497934249,27.6431390408,90.7341878014,0.0940560678999,
'2016-07-03','10:00:00',1000.92992719,1005.82992719,200.451688197,0.935477757912,27.5613204936,90.5160548102,0.0828656109972,
'2016-07-03','10:20:00',1001.0278184,1005.9278184,186.778324922,0.860778170338,27.4574173977,90.3751734263,0.0676261727978,
'2016-07-03','10:40:00',1001.14722462,1006.04722462,172.674391412,0.79017738117,27.3350558625,90.3371667371,0.0498821084319,
'2016-07-03','11:00:00',1001.28562928,1006.18562929,159.07460996,0.723186284191,27.1983877055,90.4217835595,0.0314192384337,
'2016-07-03','11:20:00',1001.43863285,1006.33863285,146.898077166,0.659681527355,27.0518613194,90.6413988222,0.0141509506199,
'2016-07-03','11:40:00',1001.6,1006.5,137.0,0.600000000001,26.9,91.0,0,
'2016-07-03','12:00:00',1001.6,1006.5,137.0,0.6,26.9,91.0,0.0,
'2016-07-03','12:20:00',1001.6,1006.5,137.0,0.600000000001,26.9,91.0,0,
'2016-07-03','12:40:00',1001.76184595,1006.66184595,130.128227521,0.544970768041,26.7471957637,91.4927001941,0,
'2016-07-03','13:00:00',1001.91495923,1006.81495923,126.885911165,0.495882323482,26.5975254901,92.1057983243,0,
'2016-07-03','13:20:00',1002.049253,1006.949253,127.701384712,0.454386258458,26.4545950279,92.8173867828,0,
'2016-07-03','13:40:00',1002.15433085,1007.05433085,132.806113218,0.422341717806,26.3214157039,93.5984867722,0.00685904484285,
'2016-07-03','14:00:00',1002.22014777,1007.12014777,142.221318407,0.401608227984,26.2003164797,94.4146714319,0.029494592639,
'2016-07-03','14:20:00',1002.237741,1007.13774101,155.753646161,0.393797744029,26.0928938025,95.2281167331,0.0608263345574,
'2016-07-03','14:40:00',1002.2,1007.1,173.0,0.400000000001,26.0,95.9999999999,0.0999999999994,
'2016-07-03','15:00:00',1002.2,1007.1,173.0,0.4,26.0,96.0,0.1,
'2016-07-03','15:20:00',1002.2,1007.1,173.0,0.400000000001,26.0,95.9999999999,0.0999999999994,
'2016-07-03','15:40:00',1002.10243893,1007.00243894,193.361422562,0.420498492243,25.921769873,96.6931457947,0.145534410343,
'2016-07-03','16:00:00',1001.9439296,1006.8439296,216.065665332,0.454497668574,25.8576839413,97.2747987805,0.195332910388,
'2016-07-03','16:20:00',1001.72734681,1006.62734682,240.197845041,0.499885140381,25.8066656024,97.7193830527,0.246725364599,
'2016-07-03','16:40:00',1001.46007285,1006.36007286,264.738343316,0.553055978369,25.7672082646,98.0110873109,0.29654344158,
'2016-07-03','17:00:00',1001.15430161,1006.05430162,288.606864413,0.608829396591,25.7375273219,98.1460951182,0.341231771424,
'2016-07-03','17:20:00',1000.82707772,1005.72707773,310.711323972,0.660491373178,25.7157306359,98.1342593732,0.376997421815,
'2016-07-03','17:40:00',1000.5,1005.40000001,330.000000001,0.700000000004,25.6999999999,97.9999999995,0.399999999998,
'2016-07-03','18:00:00',1000.5,1005.4,330.0,0.7,25.7,98.0,0.4,
'2016-07-03','18:20:00',1000.5,1005.40000001,330.000000001,0.700000000004,25.6999999999,97.9999999995,0.399999999998,
'2016-07-03','18:40:00',1000.19851305,1005.09851307,345.515135414,0.718393597384,25.6887748572,97.7821837333,0.406584548933,
'2016-07-03','19:00:00',999.950705127,1004.85070514,356.445939691,0.706444873692,25.6809283516,97.532724769,0.393559267203,
'2016-07-03','19:20:00',999.785524604,1004.68552462,362.178695378,0.655607653615,25.6759245932,97.3136249001,0.358519943456,
'2016-07-03','19:40:00',999.730321987,1004.630322,362.341433346,0.559305942593,25.6739448198,97.1921516695,0.300222857399,
'2016-07-03','20:00:00',999.807618383,1004.7076184,356.840398928,0.414618338831,25.6759689436,97.2338329248,0.219007760567,
'2016-07-03','20:20:00',1000.03099594,1004.93099596,345.885289216,0.224414048049,25.6837977729,97.492926046,0.117272411358,
'2016-07-03','20:40:00',1000.4,1005.30000001,330.000000002,7.24220683423e-12,25.6999999999,97.9999999983,0,
'2016-07-03','21:00:00',1000.4,1005.3,330.0,0.0,25.7,98.0,0.0,
'2016-07-03','21:20:00',1000.4,1005.30000001,330.000000002,7.24220683423e-12,25.6999999999,97.9999999983,0,
'2016-07-03','21:40:00',1000.89393694,1005.79393696,310.015379049,-0.23565819035,25.7277668535,98.7462482331,0,
'2016-07-03','22:00:00',1001.46444629,1006.36444631,287.04024052,-0.444075430475,25.7706561149,99.6641303443,0,
'2016-07-03','22:20:00',1002.02671968,1006.9267197,262.406653639,-0.566677296025,25.8322059982,100.603920262,0,
'2016-07-03','22:40:00',1002.44923367,1007.34923369,237.585276804,-0.519448640605,25.915398202,101.305718641,0,
'2016-07-03','23:00:00',1002.54185807,1007.44185809,214.066266571,-0.186724951244,26.021948241,101.366466989,0,
'2016-07-03','23:20:00',1002.04219515,1006.94219517,193.20104912,0.58595251226,26.1513999676,100.201480945,0,
'2016-07-03','23:40:00',1000.6,1005.50000002,176.000000005,2.00000000001,26.2999999998,96.9999999959,0,
'2016-07-04','00:00:00',1000.6,1005.5,176.0,2.0,26.3,97.0,0.0,
'2016-07-04','00:20:00',1000.6,1005.5,176.0,2.0,26.3,97.0,0.0,
'2016-07-04','00:40:00',998.24086001,1002.93465258,142.179204873,2.07950582708,30.1190853323,72.5087584612,0.0,
'2016-07-04','01:00:00',997.447571358,1002.06025729,136.395683513,2.14238498184,31.9819750363,61.3156183783,0.0,
'2016-07-04','01:20:00',997.60071752,1002.20892116,144.494074099,2.18095813591,32.635674412,58.2945554532,0.0,
'2016-07-04','01:40:00',998.247932662,1002.89309862,157.131028783,2.19320731849,32.6251567375,59.720716044,0.0,
'2016-07-04','02:00:00',999.072257015,1003.77133609,168.67166147,2.18090402179,32.3317934776,62.9989083999,0.0,
'2016-07-04','02:20:00',999.864603276,1004.61848231,176.253132836,2.14810885431,32.006785324,66.428256116,0.0,
'2016-07-04','02:40:00',1000.5,1005.3,179.0,2.1,31.8,69.0,0.0,
'2016-07-04','03:00:00',1000.5,1005.3,179.0,2.1,31.8,69.0,0.0,
'2016-07-04','03:20:00',1000.5,1005.3,179.0,2.1,31.8,69.0,0.0,
'2016-07-04','03:40:00',1000.91729091,1005.75002884,177.376618279,2.04198996139,31.784607039,70.2255544095,0.0,
'2016-07-04','04:00:00',1001.10198194,1005.95286378,172.662542508,1.97909228536,31.9778840365,69.9920439826,0.0,
'2016-07-04','04:20:00',1001.07194098,1005.92752704,166.537535443,1.91550219042,32.3585531549,68.4426665502,0.0,
'2016-07-04','04:40:00',1000.86566788,1005.71512632,160.763450786,1.85435723503,32.8809909459,65.8793478858,0.0,
'2016-07-04','05:00:00',1000.53286568,1005.36870571,156.950918464,1.79764638636,33.48663884,62.6852738096,0.0,
'2016-07-04','05:20:00',1000.12705669,1004.9453104,156.399419759,1.74623806987,34.112925935,59.2650050341,0.0,
'2016-07-04','05:40:00',999.7,1004.5,160.0,1.7,34.7,56.0,0.0,
'2016-07-04','06:00:00',999.7,1004.5,160.0,1.7,34.7,56.0,0.0,
'2016-07-04','06:20:00',999.7,1004.5,160.0,1.7,34.7,56.0,0.0,
'2016-07-04','06:40:00',999.297680185,1004.08155994,168.190526512,1.65798581277,35.1955468962,53.2174908181,0.0,
'2016-07-04','07:00:00',998.957649659,1003.72967413,180.954059596,1.61866574158,35.5579628978,51.1707772988,0.0,
'2016-07-04','07:20:00',998.707520287,1003.47333673,197.851564322,1.58018079772,35.7581286823,50.0291239145,0.0,
'2016-07-04','07:40:00',998.56441271,1003.33029463,218.080850988,1.5406021375,35.7800180415,49.8755644074,0.0,
'2016-07-04','08:00:00',998.53518486,1003.30732685,240.554292111,1.49817951838,35.620358651,50.7110386192,0.0,
'2016-07-04','08:20:00',998.617274045,1003.40118081,263.988523876,1.45156496667,35.287546516,52.463405985,0.0,
'2016-07-04','08:40:00',998.8,1003.6,287.0,1.4,34.8,55.0,0.0,
'2016-07-04','09:00:00',998.8,1003.6,287.0,1.4,34.8,55.0,0.0,
'2016-07-04','09:20:00',998.8,1003.6,287.0,1.4,34.8,55.0,0.0,
'2016-07-04','09:40:00',999.066189211,1003.88509165,308.200926004,1.3434569678,34.1841236224,58.1425078309,0.0,
