date,time,gate_dir,vehicle_model[0],vehicle_model[1],vehicle_model[2],vehicle_model[3],vehicle_model[4],vehicle_model[5],vehicle_model[6],vehicle_model[7],has_etc[0],has_etc[1],working_day,total_volume
'2016-09-19','05:40:00',3,0,18,9,0,0,0,0,0,24,3,1,27
'2016-09-19','05:40:00',4,0,10,1,2,0,0,0,0,10,3,1,13
'2016-09-19','06:00:00',0,0,7,0,1,0,0,0,0,6,2,1,8
'2016-09-19','06:00:00',1,0,27,6,3,1,0,2,0,33,6,1,39
'2016-09-19','06:00:00',2,0,22,8,0,0,0,0,0,25,5,1,30
'2016-09-19','06:00:00',3,0,26,13,0,0,0,0,0,33,6,1,39
'2016-09-19','06:00:00',4,0,18,7,2,0,1,0,2,25,5,1,30
'2016-09-19','06:20:00',0,0,12,1,0,0,0,0,0,8,5,1,13
'2016-09-19','06:20:00',1,0,44,9,1,0,3,0,0,49,8,1,57
'2016-09-19','06:20:00',2,0,26,10,0,0,0,0,0,32,4,1,36
'2016-09-19','06:20:00',3,1,40,15,0,2,0,0,0,41,17,1,58
'2016-09-19','06:20:00',4,0,25,6,1,3,2,0,1,29,9,1,38
'2016-09-19','06:40:00',0,0,28,2,1,1,0,0,0,23,9,1,32
'2016-09-19','06:40:00',1,0,52,14,0,0,3,0,3,61,11,1,72
'2016-09-19','06:40:00',2,0,28,9,0,0,0,0,0,27,10,1,37
'2016-09-19','06:40:00',3,0,60,8,1,2,0,0,0,46,25,1,71
'2016-09-19','06:40:00',4,0,58,5,2,0,0,0,0,49,16,1,65
'2016-09-19','07:00:00',0,0,34,3,1,1,0,0,0,29,10,1,39
'2016-09-19','07:00:00',1,0,53,13,1,0,3,0,0,56,14,1,70
'2016-09-19','07:00:00',2,0,80,3,0,1,0,0,0,50,34,1,84
'2016-09-19','07:00:00',3,0,101,20,2,4,0,0,0,80,47,1,127
'2016-09-19','07:00:00',4,0,59,4,1,2,1,0,0,52,15,1,67
'2016-09-19','07:20:00',0,0,30,1,0,0,0,0,0,20,11,1,31
'2016-09-19','07:20:00',1,0,70,6,3,2,2,0,0,64,19,1,83
'2016-09-19','07:20:00',2,0,73,7,0,0,0,0,0,44,36,1,80
'2016-09-19','07:20:00',3,0,112,8,1,2,0,0,0,80,43,1,123
'2016-09-19','07:20:00',4,0,65,1,1,1,2,0,1,50,21,1,71
'2016-09-19','07:40:00',0,0,40,2,1,0,0,0,0,27,16,1,43
'2016-09-19','07:40:00',1,0,106,5,3,2,2,0,0,83,35,1,118
'2016-09-19','07:40:00',2,0,93,4,0,0,0,0,0,61,36,1,97
'2016-09-19','07:40:00',3,0,139,12,0,2,0,0,0,96,57,1,153
'2016-09-19','07:40:00',4,0,97,3,2,0,1,0,0,70,33,1,103
'2016-09-19','08:00:00',0,0,42,3,1,0,0,0,0,29,17,1,46
'2016-09-19','08:00:00',1,0,111,7,1,4,0,0,0,91,32,1,123
'2016-09-19','08:00:00',2,0,124,5,0,0,0,0,0,86,43,1,129
'2016-09-19','08:00:00',3,0,143,17,0,1,0,0,0,104,57,1,161
'2016-09-19','08:00:00',4,0,112,4,2,0,0,0,0,70,48,1,118
'2016-09-19','08:20:00',0,0,49,4,2,1,0,0,0,39,17,1,56
'2016-09-19','08:20:00',1,0,106,5,2,4,2,0,0,94,25,1,119
'2016-09-19','08:20:00',2,0,111,8,1,2,0,0,0,81,41,1,122
'2016-09-19','08:20:00',3,0,146,21,0,0,0,0,0,125,42,1,167
'2016-09-19','08:20:00',4,0,147,4,4,13,0,0,0,111,57,1,168
'2016-09-19','08:40:00',0,9,30,1,1,0,0,0,0,32,9,1,41
'2016-09-19','08:40:00',1,0,99,10,0,5,2,0,0,90,26,1,116
'2016-09-19','08:40:00',2,0,91,7,0,0,0,0,0,68,30,1,98
'2016-09-19','08:40:00',3,0,115,19,2,2,0,0,0,94,44,1,138
'2016-09-19','08:40:00',4,0,144,8,2,1,5,0,1,97,64,1,161
'2016-09-19','09:00:00',0,0,44,6,0,0,0,0,0,32,18,1,50
'2016-09-19','09:00:00',1,0,114,3,2,0,0,0,1,86,34,1,120
'2016-09-19','09:00:00',2,0,83,5,1,0,0,0,0,74,15,1,89
'2016-09-19','09:00:00',3,0,143,29,1,1,0,0,0,134,40,1,174
'2016-09-19','09:00:00',4,0,130,10,3,1,1,0,0,101,44,1,145
'2016-09-19','09:20:00',0,0,41,7,0,1,0,0,0,39,10,1,49
'2016-09-19','09:20:00',1,0,135,10,1,4,1,0,0,117,34,1,151
'2016-09-19','09:20:00',2,0,74,4,0,0,0,0,0,60,18,1,78
'2016-09-19','09:20:00',3,0,125,19,0,0,0,0,0,121,23,1,144
'2016-09-19','09:20:00',4,0,118,0,6,0,1,0,0,96,29,1,125
'2016-09-19','09:40:00',0,0,42,2,0,0,0,0,0,41,3,1,44
'2016-09-19','09:40:00',1,0,112,12,2,0,3,0,2,104,27,1,131
'2016-09-19','09:40:00',2,0,57,2,0,0,0,0,0,47,12,1,59
'2016-09-19','09:40:00',3,0,123,23,1,1,0,0,0,120,28,1,148
'2016-09-19','09:40:00',4,0,106,5,3,0,1,0,1,91,25,1,116
'2016-09-19','10:00:00',0,0,38,6,0,0,0,0,0,37,7,1,44
'2016-09-19','10:00:00',1,0,80,15,3,1,2,0,0,86,15,1,101
'2016-09-19','10:00:00',2,0,69,2,0,0,0,0,0,53,18,1,71
'2016-09-19','10:00:00',3,0,80,22,1,1,0,0,0,80,24,1,104
'2016-09-19','10:00:00',4,0,100,8,4,3,2,0,0,91,26,1,117
'2016-09-19','10:20:00',0,0,43,1,0,0,0,0,0,38,6,1,44
'2016-09-19','10:20:00',1,0,90,9,4,1,1,0,0,85,20,1,105
'2016-09-19','10:20:00',2,0,63,25,0,0,0,0,0,77,11,1,88
'2016-09-19','10:20:00',3,0,85,25,0,1,0,0,0,89,22,1,111
'2016-09-19','10:20:00',4,0,77,3,2,0,5,0,0,70,17,1,87
'2016-09-19','10:40:00',0,0,41,2,0,1,0,0,0,34,10,1,44
'2016-09-19','10:40:00',1,0,87,11,1,0,2,0,1,82,20,1,102
'2016-09-19','10:40:00',2,0,52,12,0,0,0,0,1,51,14,1,65
'2016-09-19','10:40:00',3,1,86,34,1,0,0,0,0,103,19,1,122
'2016-09-19','10:40:00',4,0,74,6,4,0,1,0,0,66,19,1,85
'2016-09-19','11:00:00',0,0,32,6,1,0,0,0,0,30,9,1,39
'2016-09-19','11:00:00',1,0,70,9,2,3,2,0,0,62,24,1,86
'2016-09-19','11:00:00',2,0,40,10,0,0,0,0,0,37,13,1,50
'2016-09-19','11:00:00',3,0,90,20,0,1,0,0,0,85,26,1,111
'2016-09-19','11:00:00',4,0,61,4,4,1,2,0,1,53,20,1,73
'2016-09-19','11:20:00',0,0,25,5,0,0,0,0,0,23,7,1,30
'2016-09-19','11:20:00',1,0,65,8,2,1,0,0,0,59,17,1,76
'2016-09-19','11:20:00',2,0,53,8,0,0,0,0,0,47,14,1,61
'2016-09-19','11:20:00',3,0,61,18,0,3,0,0,0,67,15,1,82
'2016-09-19','11:20:00',4,0,59,6,5,0,2,0,0,50,22,1,72
'2016-09-19','11:40:00',0,0,32,1,0,0,0,0,1,24,10,1,34
'2016-09-19','11:40:00',1,0,76,11,1,3,9,0,0,78,22,1,100
'2016-09-19','11:40:00',2,0,39,7,0,0,0,0,0,37,9,1,46
'2016-09-19','11:40:00',3,0,72,17,0,2,0,0,0,71,20,1,91
'2016-09-19','11:40:00',4,0,63,4,2,0,4,0,0,55,18,1,73
'2016-09-19','12:00:00',0,0,43,2,0,0,0,0,0,37,8,1,45
'2016-09-19','12:00:00',1,0,79,15,3,1,1,0,0,79,20,1,99
'2016-09-19','12:00:00',2,0,70,17,0,0,0,0,0,69,18,1,87
'2016-09-19','12:00:00',3,0,84,19,0,1,0,0,0,73,31,1,104
'2016-09-19','12:00:00',4,0,86,3,3,0,2,0,0,70,24,1,94
'2016-09-19','12:20:00',0,0,40,2,2,0,0,0,0,30,14,1,44
'2016-09-19','12:20:00',1,0,61,6,0,0,3,0,0,56,14,1,70
'2016-09-19','12:20:00',2,0,52,14,0,0,0,0,0,48,18,1,66
'2016-09-19','12:20:00',3,0,66,24,0,1,0,0,0,72,19,1,91
'2016-09-19','12:20:00',4,0,75,3,1,1,6,0,0,66,20,1,86
'2016-09-19','12:40:00',0,0,48,3,1,1,0,0,0,35,18,1,53
'2016-09-19','12:40:00',1,0,59,9,5,4,2,0,0,64,15,1,79
'2016-09-19','12:40:00',2,0,57,12,0,0,0,0,0,55,14,1,69
'2016-09-19','12:40:00',3,0,105,13,1,3,0,0,0,99,23,1,122
'2016-09-19','12:40:00',4,0,85,3,5,0,1,0,0,72,22,1,94
'2016-09-19','13:00:00',0,0,48,7,2,0,0,0,0,40,17,1,57
'2016-09-19','13:00:00',1,0,79,14,1,1,5,0,0,85,15,1,100
'2016-09-19','13:00:00',2,0,68,9,1,3,0,0,0,55,26,1,81
'2016-09-19','13:00:00',3,0,102,12,1,2,0,0,0,85,32,1,117
'2016-09-19','13:00:00',4,0,82,5,2,0,2,0,0,69,22,1,91
'2016-09-19','13:20:00',0,0,54,6,1,0,0,0,0,44,17,1,61
'2016-09-19','13:20:00',1,0,85,7,3,6,7,0,0,85,23,1,108
'2016-09-19','13:20:00',2,0,77,9,2,7,0,0,0,66,29,1,95
'2016-09-19','13:20:00',3,0,80,23,0,4,0,0,0,84,23,1,107
'2016-09-19','13:20:00',4,0,99,5,3,1,2,0,0,84,26,1,110
'2016-09-19','13:40:00',0,0,51,2,0,0,0,0,0,36,17,1,53
'2016-09-19','13:40:00',1,0,88,10,2,2,4,0,0,79,27,1,106
'2016-09-19','13:40:00',2,0,52,13,1,0,0,0,1,47,20,1,67
'2016-09-19','13:40:00',3,0,104,26,0,1,0,0,0,104,27,1,131
'2016-09-19','13:40:00',4,0,94,3,1,1,1,0,0,76,24,1,100
'2016-09-19','14:00:00',0,0,50,4,1,0,0,0,0,40,15,1,55
'2016-09-19','14:00:00',1,0,94,7,0,0,0,0,0,75,26,1,101
'2016-09-19','14:00:00',2,0,52,13,1,0,0,0,0,54,12,1,66
'2016-09-19','14:00:00',3,0,78,21,0,1,0,0,0,79,21,1,100
'2016-09-19','14:00:00',4,0,80,2,7,2,4,0,0,69,26,1,95
'2016-09-19','14:20:00',0,0,46,5,1,0,0,0,0,42,10,1,52
'2016-09-19','14:20:00',1,0,78,11,4,3,4,0,0,81,19,1,100
'2016-09-19','14:20:00',2,0,54,6,1,1,0,0,0,46,16,1,62
'2016-09-19','14:20:00',3,0,64,18,0,2,0,0,0,64,20,1,84
'2016-09-19','14:20:00',4,0,93,3,1,0,2,0,0,71,28,1,99
'2016-09-19','14:40:00',0,0,49,3,0,0,0,0,0,38,14,1,52
'2016-09-19','14:40:00',1,0,86,12,0,1,1,0,1,83,18,1,101
'2016-09-19','14:40:00',2,0,70,6,2,1,0,0,0,58,21,1,79
'2016-09-19','14:40:00',3,0,83,21,2,1,0,0,0,81,26,1,107
'2016-09-19','14:40:00',4,0,86,4,1,0,2,0,0,72,21,1,93
'2016-09-19','15:00:00',0,0,44,3,1,0,0,0,0,33,15,1,48
'2016-09-19','15:00:00',1,0,73,2,2,0,0,0,0,60,17,1,77
'2016-09-19','15:00:00',2,0,59,17,0,1,0,0,0,58,19,1,77
'2016-09-19','15:00:00',3,0,94,22,0,1,0,0,0,90,27,1,117
'2016-09-19','15:00:00',4,0,69,2,3,1,0,0,0,56,19,1,75
'2016-09-19','15:20:00',0,0,52,3,2,0,0,0,0,49,8,1,57
'2016-09-19','15:20:00',1,0,88,11,3,1,1,0,0,86,18,1,104
'2016-09-19','15:20:00',2,0,58,9,0,0,0,0,0,52,15,1,67
'2016-09-19','15:20:00',3,0,90,18,0,1,0,0,0,81,28,1,109
'2016-09-19','15:20:00',4,0,86,2,3,3,1,0,0,75,20,1,95
'2016-09-19','15:40:00',0,0,38,5,0,0,0,0,0,33,10,1,43
'2016-09-19','15:40:00',1,0,82,7,1,1,1,0,0,71,21,1,92
'2016-09-19','15:40:00',2,0,62,12,0,0,0,0,0,60,14,1,74
'2016-09-19','15:40:00',3,0,96,19,0,0,0,0,0,82,33,1,115
'2016-09-19','15:40:00',4,0,74,3,5,0,1,0,0,64,19,1,83
'2016-09-19','16:00:00',0,0,38,3,1,0,0,0,0,31,11,1,42
'2016-09-19','16:00:00',1,0,99,7,1,1,2,0,0,83,27,1,110
'2016-09-19','16:00:00',2,0,66,10,0,0,0,0,0,60,16,1,76
'2016-09-19','16:00:00',3,0,102,19,0,2,0,0,0,96,27,1,123
'2016-09-19','16:00:00',4,0,98,3,0,0,0,0,0,75,26,1,101
'2016-09-19','16:20:00',0,0,42,3,0,1,0,0,0,35,11,1,46
'2016-09-19','16:20:00',1,0,109,11,0,2,0,0,0,93,29,1,122
'2016-09-19','16:20:00',2,0,85,1,0,0,0,0,0,63,23,1,86
'2016-09-19','16:20:00',3,1,95,14,0,1,0,0,0,85,26,1,111
'2016-09-19','16:20:00',4,0,82,4,1,1,2,0,0,77,13,1,90
'2016-09-19','16:40:00',0,0,52,2,0,1,0,0,0,36,19,1,55
'2016-09-19','16:40:00',1,0,104,7,3,1,1,0,0,82,34,1,116
'2016-09-19','16:40:00',2,0,86,12,1,0,0,0,0,77,22,1,99
'2016-09-19','16:40:00',3,0,89,26,0,1,0,0,0,88,28,1,116
'2016-09-19','16:40:00',4,0,105,7,3,0,0,0,0,83,32,1,115
'2016-09-19','17:00:00',0,0,30,4,1,1,0,0,0,29,7,1,36
'2016-09-19','17:00:00',1,0,85,6,1,2,1,0,1,65,31,1,96
'2016-09-19','17:00:00',2,0,74,8,1,2,0,0,0,68,17,1,85
'2016-09-19','17:00:00',3,0,90,18,0,2,0,0,0,88,22,1,110
'2016-09-19','17:00:00',4,0,79,3,1,2,1,0,0,60,26,1,86
'2016-09-19','17:20:00',0,0,33,0,1,0,0,0,0,26,8,1,34
'2016-09-19','17:20:00',1,0,103,4,2,5,2,0,0,71,45,1,116
'2016-09-19','17:20:00',2,0,65,6,1,0,0,0,0,49,23,1,72
'2016-09-19','17:20:00',3,0,98,19,0,1,0,0,0,88,30,1,118
'2016-09-19','17:20:00',4,0,79,3,3,0,0,0,0,55,30,1,85
'2016-09-19','17:40:00',0,0,22,2,0,0,0,0,0,16,8,1,24
'2016-09-19','17:40:00',1,0,97,4,6,3,2,0,0,74,38,1,112
'2016-09-19','17:40:00',2,0,47,6,0,0,0,0,0,38,15,1,53
'2016-09-19','17:40:00',3,0,79,14,0,2,0,0,0,77,18,1,95
'2016-09-19','17:40:00',4,0,78,2,6,0,5,0,0,67,24,1,91
'2016-09-19','18:00:00',0,0,27,0,2,0,0,0,0,18,11,1,29
'2016-09-19','18:00:00',1,0,59,2,3,1,2,0,0,46,21,1,67
'2016-09-19','18:00:00',2,0,49,6,0,0,0,0,0,37,18,1,55
'2016-09-19','18:00:00',3,0,71,22,0,1,0,0,0,80,14,1,94
'2016-09-19','18:00:00',4,0,62,5,3,0,3,0,0,49,24,1,73
'2016-09-19','18:20:00',0,0,25,2,0,0,0,0,0,22,5,1,27
'2016-09-19','18:20:00',1,0,83,7,0,1,3,0,0,64,30,1,94
'2016-09-19','18:20:00',2,0,48,2,0,0,0,0,0,35,15,1,50
'2016-09-19','18:20:00',3,0,38,15,2,1,0,0,0,46,10,1,56
'2016-09-19','18:20:00',4,0,69,1,3,0,5,0,0,54,24,1,78
'2016-09-19','18:40:00',0,0,16,2,0,0,0,0,0,17,1,1,18
'2016-09-19','18:40:00',1,0,59,2,1,2,1,0,0,41,24,1,65
'2016-09-19','18:40:00',2,0,44,3,0,1,0,0,1,36,13,1,49
'2016-09-19','18:40:00',3,0,44,17,0,0,0,0,0,52,9,1,61
'2016-09-19','18:40:00',4,0,70,4,1,1,1,0,0,53,24,1,77
'2016-09-19','19:00:00',0,0,12,1,0,0,0,0,0,9,4,1,13
'2016-09-19','19:00:00',1,0,50,4,4,1,3,0,0,47,15,1,62
'2016-09-19','19:00:00',2,0,41,3,0,0,0,0,0,32,12,1,44
'2016-09-19','19:00:00',3,0,39,11,0,1,0,0,0,41,10,1,51
'2016-09-19','19:00:00',4,0,37,2,3,0,2,0,0,32,12,1,44
'2016-09-19','19:20:00',0,0,19,1,2,0,0,0,0,17,5,1,22
'2016-09-19','19:20:00',1,0,38,6,0,0,0,0,0,35,9,1,44
'2016-09-19','19:20:00',2,0,41,8,0,0,0,0,0,37,12,1,49
'2016-09-19','19:20:00',3,0,42,15,0,4,0,0,0,46,15,1,61
'2016-09-19','19:20:00',4,0,41,2,0,0,2,0,0,31,14,1,45
'2016-09-19','19:40:00',0,1,24,2,0,0,0,0,0,21,6,1,27
'2016-09-19','19:40:00',1,0,37,2,1,0,1,0,0,29,12,1,41
'2016-09-19','19:40:00',2,0,29,12,0,0,0,0,0,34,7,1,41
'2016-09-19','19:40:00',3,0,42,8,0,0,0,0,0,39,11,1,50
'2016-09-19','19:40:00',4,0,43,2,1,0,0,0,0,35,11,1,46
'2016-09-19','20:00:00',0,0,17,0,0,0,0,0,0,11,6,1,17
'2016-09-19','20:00:00',1,0,37,6,2,0,3,0,0,40,8,1,48
'2016-09-19','20:00:00',2,0,43,12,0,1,0,0,0,47,9,1,56
'2016-09-19','20:00:00',3,0,46,9,0,0,0,0,0,42,13,1,55
'2016-09-19','20:00:00',4,0,30,1,0,1,0,0,0,23,9,1,32
'2016-09-19','20:20:00',0,0,15,1,0,0,0,0,0,12,4,1,16
'2016-09-19','20:20:00',1,0,31,0,1,0,2,0,0,28,6,1,34
'2016-09-19','20:20:00',2,0,16,5,0,0,0,0,0,17,4,1,21
'2016-09-19','20:20:00',3,0,20,9,0,0,0,0,0,23,6,1,29
'2016-09-19','20:20:00',4,0,39,1,0,0,0,0,0,27,13,1,40
'2016-09-19','20:40:00',0,0,17,0,0,0,0,0,0,13,4,1,17
'2016-09-19','20:40:00',1,0,36,2,0,0,1,0,0,28,11,1,39
'2016-09-19','20:40:00',2,0,27,8,0,0,0,0,0,26,9,1,35
'2016-09-19','20:40:00',3,0,29,12,0,0,0,0,0,36,5,1,41
'2016-09-19','20:40:00',4,0,37,3,1,1,0,0,0,31,11,1,42
'2016-09-19','21:00:00',0,0,14,3,0,0,0,0,0,13,4,1,17
'2016-09-19','21:00:00',1,0,21,2,1,0,0,0,0,16,8,1,24
'2016-09-19','21:00:00',2,0,21,8,0,0,0,0,0,23,6,1,29
'2016-09-19','21:00:00',3,0,19,13,0,0,0,0,0,27,5,1,32
'2016-09-19','21:00:00',4,0,27,0,2,0,1,0,0,25,5,1,30
'2016-09-19','21:20:00',0,0,18,4,0,0,0,0,0,13,9,1,22
'2016-09-19','21:20:00',1,0,30,4,0,0,1,0,0,25,10,1,35
'2016-09-19','21:20:00',2,0,15,5,0,0,0,0,0,14,6,1,20
'2016-09-19','21:20:00',3,0,23,11,0,0,0,0,0,28,6,1,34
'2016-09-19','21:20:00',4,0,32,3,1,0,1,0,0,26,11,1,37
'2016-09-19','21:40:00',0,0,4,1,0,0,0,0,0,4,1,1,5
'2016-09-19','21:40:00',1,0,25,3,0,0,0,0,2,22,8,1,30
'2016-09-19','21:40:00',2,0,20,4,0,0,0,0,0,20,4,1,24
'2016-09-19','21:40:00',3,0,17,13,0,0,0,0,0,27,3,1,30
'2016-09-19','21:40:00',4,0,31,0,1,0,1,0,0,23,10,1,33
'2016-09-19','22:00:00',0,0,4,0,0,0,0,0,0,4,0,1,4
'2016-09-19','22:00:00',1,0,14,3,2,0,2,0,0,17,4,1,21
'2016-09-19','22:00:00',2,0,16,5,0,0,0,0,0,16,5,1,21
'2016-09-19','22:00:00',3,0,16,6,0,0,0,0,0,15,7,1,22
'2016-09-19','22:00:00',4,0,15,0,0,0,1,0,0,11,5,1,16
'2016-09-19','22:20:00',0,0,9,0,0,0,0,0,0,7,2,1,9
'2016-09-19','22:20:00',1,0,20,1,0,1,2,0,0,18,6,1,24
'2016-09-19','22:20:00',2,0,7,5,0,0,0,0,0,10,2,1,12
'2016-09-19','22:20:00',3,0,15,9,0,0,0,0,0,19,5,1,24
'2016-09-19','22:20:00',4,0,10,0,1,0,2,0,0,10,3,1,13
'2016-09-19','22:40:00',0,0,3,0,0,0,0,0,0,1,2,1,3
'2016-09-19','22:40:00',1,0,17,2,1,0,3,0,0,15,8,1,23
'2016-09-19','22:40:00',2,0,11,13,0,0,0,0,0,18,6,1,24
'2016-09-19','22:40:00',3,0,9,3,0,0,0,0,0,9,3,1,12
